Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,,Présence des musulmans,%,4%,0%,2%,0%,2%,1%,18%,0%,12%,1%,2%,4%,,,,,,,,,
,,Présence  des Peuls,%,10%,1%,18%,8%,2%,9%,53%,28%,40%,6%,2%,16%,,,,,,,,,
,,Manque de présence des FACA,%,19%,16%,21%,32%,44%,37%,37%,16%,39%,24%,10%,25%,,,,,,,,,
,,Sorcellerie,%,12%,9%,33%,27%,2%,3%,18%,6%,5%,0%,8%,12%,,,,,,,,,
,,"Rumeurs (attaques, groupes armés…)",%,16%,3%,32%,1%,2%,4%,42%,5%,7%,17%,8%,14%,,,,,,,,,
,,"Circulation d'armes, absence de DDR",%,29%,12%,54%,18%,2%,30%,38%,48%,46%,5%,29%,31%,,,,,,,,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",%,58%,47%,46%,61%,9%,43%,25%,42%,11%,75%,46%,43%,,,,,,,,,
,,Autre,%,4%,0%,0%,3%,2%,1%,3%,4%,2%,6%,4%,3%,,,,,,,,,
,Mesures pour se sentir plus en sécurité (% répondants - réponses multiples),Plus de policiers centrafricains,%,28%,16%,25%,10%,81%,18%,73%,5%,21%,10%,28%,29%,,,,,,,,,
,, Moins de policiers centrafricains,%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,,,,,,,,,
,,Plus de groupes d’autodéfense du quartier,%,15%,32%,17%,18%,6%,1%,1%,1%,0%,4%,8%,9%,,,,,,,,,
,,Moins de groupes d’autodéfense du quartier,%,1%,6%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,Plus de nettoyage du quartier,%,30%,10%,25%,32%,0%,0%,5%,1%,0%,0%,27%,15%,,,,,,,,,
,,Moins d’attroupements de bandes au bord des routes,%,3%,0%,0%,1%,0%,0%,0%,2%,1%,1%,4%,2%,,,,,,,,,
,,Plus d'éclairage public,%,50%,3%,32%,22%,8%,1%,5%,3%,3%,3%,52%,23%,,,,,,,,,
,,Plus de patrouilles policières dans les quartiers,%,34%,19%,33%,28%,35%,55%,24%,11%,44%,12%,41%,34%,,,,,,,,,
,,Avoir un poste de police dans le quartier,%,29%,12%,25%,2%,19%,6%,21%,7%,9%,20%,21%,18%,,,,,,,,,
,,Plus de gendarmes nationaux,%,25%,32%,36%,33%,80%,28%,68%,23%,31%,15%,21%,33%,,,,,,,,,
,,Moins de gendarmes nationaux,%,1%,1%,0%,0%,1%,0%,0%,0%,1%,0%,1%,1%,,,,,,,,,
,,Créer un réseau d'alerte,%,14%,12%,6%,6%,5%,3%,5%,1%,2%,2%,12%,7%,,,,,,,,,
,,Améliorer le réseau d'alerte,%,11%,3%,4%,1%,2%,3%,0%,1%,1%,1%,8%,4%,,,,,,,,,
,,Désarmement (DDR),%,52%,51%,82%,38%,21%,43%,89%,84%,91%,35%,57%,62%,,,,,,,,,
,,Arrêter/ éliminer les groupes armés,%,24%,10%,56%,28%,2%,34%,22%,50%,30%,1%,20%,29%,,,,,,,,,
,,"Plus de communication, dialogue, cohésion sociale",%,42%,25%,39%,19%,10%,51%,50%,17%,56%,57%,36%,39%,,,,,,,,,
,,"Plus de développement, emploi",%,57%,49%,55%,61%,11%,44%,21%,41%,12%,68%,48%,44%,,,,,,,,,
,,Autre,%,7%,0%,1%,9%,11%,2%,26%,3%,8%,15%,6%,7%,,,,,,,,,
ACTEURS DE SÉCURITÉ (GENERAL),Personnes ou groupes qui assurent principalement la sécurité dans ce quartier/village (% répondants),Personne,%,7%,0%,9%,0%,38%,1%,0%,0%,3%,2%,16%,7%,,,,,,,,,
,,La police centrafricaine,%,4%,2%,6%,6%,0%,0%,1%,1%,0%,0%,11%,4%,,,,,,,,,
,,La gendarmerie nationale,%,8%,23%,20%,11%,1%,6%,12%,3%,2%,0%,3%,8%,,,,,,,,,
,,Les sociétés privées de gardiennage,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Les chefs de quartier,%,33%,45%,22%,76%,20%,39%,25%,17%,41%,83%,22%,35%,,,,,,,,,
,,La police municipale,%,1%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,1%,,,,,,,,,
,,Les groupes d’autodéfense,%,1%,3%,4%,1%,3%,1%,13%,2%,0%,0%,1%,3%,,,,,,,,,
,,Les groupes armés,%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,0%,1%,,,,,,,,,
,,Les FACA,%,3%,2%,7%,0%,1%,19%,0%,1%,6%,9%,4%,6%,,,,,,,,,
,,La MINUSCA,%,0%,0%,2%,0%,0%,6%,17%,0%,4%,0%,3%,4%,,,,,,,,,
,,Population elle-même,%,14%,2%,19%,3%,24%,16%,18%,1%,9%,3%,17%,13%,,,,,,,,,
,,Dieu,%,29%,20%,9%,3%,9%,6%,10%,73%,36%,1%,23%,19%,,,,,,,,,
,,Autre,%,0%,1%,0%,0%,3%,0%,0%,0%,1%,1%,1%,1%,,,,,,,,,
,Autres personnes ou groupes qui assurent la sécurité dans ce quartier/village (% répondants),Personne,%,5%,0%,14%,0%,17%,3%,0%,1%,3%,5%,16%,7%,,,,,,,,,
,,La police centrafricaine,%,13%,11%,19%,13%,6%,8%,14%,7%,3%,6%,22%,13%,,,,,,,,,
,,La gendarmerie nationale,%,21%,40%,42%,24%,17%,13%,41%,14%,11%,7%,16%,22%,,,,,,,,,
,,Les sociétés privées de gardiennage,%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,Les chefs de quartier,%,59%,59%,42%,34%,62%,55%,69%,59%,47%,89%,40%,53%,,,,,,,,,
,,La police municipale,%,1%,2%,4%,5%,0%,8%,1%,0%,0%,0%,1%,2%,,,,,,,,,
,,Les groupes d’autodéfense,%,7%,28%,21%,2%,11%,6%,36%,19%,1%,1%,1%,11%,,,,,,,,,
,,Les groupes armés,%,1%,0%,0%,2%,0%,0%,6%,10%,0%,0%,0%,1%,,,,,,,,,
,,Les FACA,%,7%,10%,21%,7%,0%,33%,0%,8%,13%,26%,9%,15%,,,,,,,,,
,,La MINUSCA,%,2%,3%,17%,10%,1%,25%,48%,5%,11%,23%,11%,17%,,,,,,,,,
,,Population elle-même,%,55%,17%,26%,69%,50%,48%,72%,37%,44%,46%,43%,47%,,,,,,,,,
,,Dieu,%,46%,43%,27%,30%,47%,41%,32%,56%,53%,33%,40%,41%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,4%,0%,6%,1%,7%,6%,2%,3%,,,,,,,,,
ACTEURS DE SECURITE (PRESENCE ET FREQUENCE),Présence d'une base ou une unité dans ce quartier / village (% oui),Police,%,27%,14%,30%,11%,8%,16%,10%,20%,47%,8%,42%,24%,,,,,,,,,
,,Gendarmes,%,35%,33%,60%,17%,14%,17%,25%,33%,56%,8%,22%,29%,,,,,,,,,
,,FACA,%,21%,12%,34%,6%,0%,33%,0%,22%,46%,30%,23%,23%,,,,,,,,,
,,MINUSCA,%,13%,12%,12%,12%,0%,32%,20%,23%,59%,31%,24%,24%,,,,,,,,,
,Fréquence de la présence de la police pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,18%,5%,23%,9%,8%,7%,6%,15%,21%,6%,26%,14%,,,,,,,,,
,,2-6 jours par semaine,%,6%,4%,6%,2%,7%,4%,3%,1%,3%,0%,11%,5%,,,,,,,,,
,,1 jour par semaine,%,5%,12%,1%,6%,2%,1%,2%,1%,2%,1%,7%,4%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,3%,4%,4%,0%,0%,0%,3%,1%,3%,0%,4%,2%,,,,,,,,,
,,Rarement,%,25%,26%,21%,23%,35%,54%,38%,15%,11%,12%,40%,30%,,,,,,,,,
,,Jamais,%,43%,49%,46%,59%,47%,33%,48%,68%,59%,80%,14%,45%,,,,,,,,,
,Fréquence de la présence des gendarmes pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,24%,22%,45%,13%,15%,7%,13%,22%,25%,6%,17%,19%,,,,,,,,,
,,2-6 jours par semaine,%,7%,7%,5%,19%,14%,0%,6%,5%,4%,1%,10%,6%,,,,,,,,,
,,1 jour par semaine,%,5%,12%,3%,11%,3%,2%,13%,6%,6%,1%,9%,7%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,4%,9%,5%,1%,0%,1%,15%,9%,5%,0%,6%,5%,,,,,,,,,
,,Rarement,%,30%,27%,24%,21%,42%,60%,36%,29%,12%,13%,37%,31%,,,,,,,,,
,,Jamais,%,30%,24%,19%,35%,25%,29%,17%,29%,48%,79%,21%,32%,,,,,,,,,
,Fréquence de la présence des FACA pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,15%,8%,24%,4%,1%,12%,0%,16%,20%,18%,17%,14%,,,,,,,,,
,,2-6 jours par semaine,%,4%,3%,6%,4%,1%,21%,0%,2%,2%,0%,6%,6%,,,,,,,,,
,,1 jour par semaine,%,3%,9%,5%,5%,1%,7%,0%,5%,2%,1%,6%,4%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,3%,8%,5%,4%,0%,5%,0%,6%,2%,0%,4%,3%,,,,,,,,,
,,Rarement,%,24%,23%,17%,28%,45%,33%,37%,37%,14%,34%,33%,27%,,,,,,,,,
,,Jamais,%,51%,49%,43%,56%,50%,22%,63%,33%,61%,47%,34%,45%,,,,,,,,,
,Fréquence de la présence de la MINUSCA pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,6%,6%,11%,7%,2%,13%,32%,18%,38%,18%,19%,17%,,,,,,,,,
,,2-6 jours par semaine,%,3%,2%,10%,6%,2%,25%,17%,4%,4%,1%,7%,10%,,,,,,,,,
,,1 jour par semaine,%,3%,5%,5%,8%,0%,18%,10%,8%,10%,1%,8%,9%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,3%,9%,6%,7%,3%,4%,8%,9%,4%,2%,6%,6%,,,,,,,,,
,,Rarement,%,30%,24%,21%,30%,47%,27%,25%,34%,11%,33%,28%,26%,,,,,,,,,
,,Jamais,%,55%,54%,46%,41%,46%,15%,8%,27%,32%,44%,33%,33%,,,,,,,,,
ACTEURS DE SECURITE (PERCEPTION DU TRAVAIL),Confiance dans les acteurs pour assurer la sécurité en Centrafrique (% confiants),Police,%,57%,38%,60%,81%,35%,46%,41%,74%,17%,13%,50%,47%,,,,,,,,,
,,Gendarmes,%,65%,55%,66%,85%,41%,50%,60%,86%,19%,15%,52%,54%,,,,,,,,,
,,FACA,%,60%,56%,76%,96%,40%,58%,63%,83%,22%,42%,48%,58%,,,,,,,,,
,,MINUSCA,%,32%,36%,50%,47%,32%,53%,61%,65%,19%,26%,34%,42%,,,,,,,,,
,Perception du travail des acteurs pour assurer la sécurité dans votre quartier / village ou la région pour la MINUSCA (% positifs),Police,%,38%,23%,46%,50%,39%,19%,28%,33%,40%,21%,52%,36%,,,,,,,,,
,,Gendarmes,%,54%,41%,62%,55%,48%,19%,51%,50%,47%,22%,57%,46%,,,,,,,,,
,,FACA,%,43%,34%,58%,49%,42%,41%,16%,40%,43%,50%,55%,44%,,,,,,,,,
,,MINUSCA,%,26%,33%,43%,39%,43%,35%,59%,38%,50%,40%,41%,41%,,,,,,,,,
,Perception du travail des acteurs pour arrêter les criminels dans votre quartier / village (% positifis),Police,%,44%,27%,54%,18%,77%,8%,56%,32%,47%,24%,60%,40%,,,,,,,,,
,,Gendarmes,%,58%,44%,63%,21%,77%,13%,81%,43%,51%,24%,60%,48%,,,,,,,,,
,,FACA,%,44%,33%,57%,22%,77%,42%,46%,39%,48%,55%,54%,46%,,,,,,,,,
,,MINUSCA,%,29%,32%,32%,26%,71%,17%,48%,39%,53%,45%,40%,36%,,,,,,,,,
,Perception du travail des acteurs pour lutter contre les groupes armés (% positifis),Police,%,43%,28%,36%,7%,84%,6%,37%,29%,34%,25%,54%,34%,,,,,,,,,
,,Gendarmes,%,55%,41%,38%,8%,86%,7%,67%,43%,40%,26%,58%,41%,,,,,,,,,
,,FACA,%,58%,43%,66%,44%,88%,52%,43%,44%,43%,59%,68%,55%,,,,,,,,,
,,MINUSCA,%,33%,36%,41%,29%,84%,28%,67%,41%,52%,50%,45%,43%,,,,,,,,,
,Perception du travail des acteurs pour protéger la population (% positifs),Police,%,52%,35%,60%,77%,47%,12%,31%,45%,35%,19%,61%,43%,,,,,,,,,
,,Gendarmes,%,61%,51%,72%,78%,50%,11%,54%,54%,42%,20%,60%,50%,,,,,,,,,
,,FACA,%,54%,50%,67%,86%,50%,43%,19%,51%,34%,52%,57%,51%,,,,,,,,,
,,MINUSCA,%,33%,36%,34%,44%,46%,31%,59%,47%,46%,45%,41%,41%,,,,,,,,,
,Amélioration du travail dans les 12 derniers mois (% un peu-fortement amélioré),Police,%,81%,61%,41%,93%,75%,21%,35%,51%,39%,34%,85%,55%,,,,,,,,,
,,Gendarmes,%,90%,72%,49%,94%,78%,22%,55%,70%,43%,47%,88%,62%,,,,,,,,,
,,FACA,%,80%,59%,48%,99%,74%,62%,12%,68%,24%,63%,82%,61%,,,,,,,,,
,,MINUSCA,%,49%,61%,23%,46%,49%,36%,54%,56%,40%,68%,54%,49%,,,,,,,,,
ACTEURS DE SECURITE (TRAITEMENT DE LA POPULATION),Traitement de la population de façon respectueuse (% positifis),Police,%,44%,35%,52%,48%,39%,42%,44%,75%,37%,39%,38%,42%,,,,,,,,,
,,Gendarmes,%,55%,49%,55%,48%,42%,46%,55%,78%,37%,38%,48%,49%,,,,,,,,,
,,FACA,%,46%,42%,40%,42%,41%,52%,45%,72%,38%,53%,40%,45%,,,,,,,,,
,,MINUSCA,%,42%,45%,75%,72%,69%,49%,71%,70%,37%,48%,42%,53%,,,,,,,,,
,Traitement des hommes et femmes de façon égale (% positifis),Police,%,53%,41%,70%,73%,39%,46%,55%,91%,32%,44%,44%,51%,,,,,,,,,
,,Gendarmes,%,60%,48%,70%,73%,40%,50%,60%,94%,36%,43%,47%,54%,,,,,,,,,
,,FACA,%,54%,42%,49%,56%,46%,52%,42%,85%,33%,57%,43%,48%,,,,,,,,,
,,MINUSCA,%,46%,43%,81%,93%,67%,53%,75%,78%,31%,51%,47%,58%,,,,,,,,,
,Traitement de tous les groupes ethniques et religieux de façon égale (% positifis),Police,%,57%,43%,60%,88%,64%,47%,59%,92%,17%,48%,47%,52%,,,,,,,,,
,,Gendarmes,%,60%,51%,56%,88%,67%,50%,60%,92%,18%,48%,48%,53%,,,,,,,,,
,,FACA,%,54%,49%,58%,83%,69%,51%,47%,89%,16%,59%,45%,53%,,,,,,,,,
,,MINUSCA,%,44%,44%,61%,72%,73%,54%,61%,76%,17%,48%,43%,51%,,,,,,,,,
ACTEURS DE SECURITE (COMPORTEMENTS),Perception du travail de la police professionel ou abus de pouvoir (% répondants),Professionnelle,%,76%,82%,45%,57%,77%,45%,52%,61%,48%,68%,72%,61%,,,,,,,,,
,,Abus de pouvoir,%,24%,18%,55%,43%,22%,55%,48%,38%,52%,25%,27%,38%,,,,,,,,,
,"Perception du travail des gendarmes, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,86%,84%,52%,72%,78%,50%,62%,66%,54%,67%,83%,68%,,,,,,,,,
,,Abus de pouvoir,%,13%,16%,48%,28%,22%,50%,38%,34%,46%,27%,16%,31%,,,,,,,,,
,"Perception du travail ds FACA, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,84%,82%,48%,40%,83%,51%,73%,61%,52%,70%,82%,68%,,,,,,,,,
,,Abus de pouvoir,%,16%,18%,52%,60%,17%,49%,27%,39%,48%,26%,17%,32%,,,,,,,,,
,"Perception du travail de la MINUSCA, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,66%,85%,84%,96%,97%,94%,84%,100%,72%,79%,72%,81%,,,,,,,,,
,,Abus de pouvoir,%,33%,15%,16%,3%,0%,5%,16%,0%,28%,17%,27%,18%,,,,,,,,,
,Perception du niveau de corruption des acteurs (% beaucoup et extrêmement) ,Police,%,39%,21%,84%,30%,10%,30%,38%,26%,16%,21%,47%,37%,,,,,,,,,
,,Gendarmes,%,24%,29%,74%,26%,9%,24%,27%,24%,22%,21%,29%,30%,,,,,,,,,
,,FACA,%,19%,27%,69%,25%,9%,10%,15%,12%,12%,15%,26%,24%,,,,,,,,,
,,MINUSCA,%,15%,14%,22%,13%,4%,5%,2%,4%,3%,3%,14%,10%,,,,,,,,,
,Payé personnellement un pot-de-vin aux acteurs dans les 12 derniers mois (% oui),Police,%,12%,16%,33%,1%,6%,35%,29%,0%,25%,6%,17%,19%,,,,,,,,,
,,Gendarmes,%,9%,21%,41%,2%,8%,37%,39%,4%,33%,4%,10%,21%,,,,,,,,,
,,FACA,%,6%,15%,22%,0%,2%,13%,12%,2%,20%,7%,8%,11%,,,,,,,,,
,,MINUSCA,%,3%,15%,3%,0%,0%,2%,2%,0%,17%,2%,3%,4%,,,,,,,,,
,Aidé par les acteurs dans les 12 derniers mois (% oui),Police,%,17%,17%,23%,0%,1%,18%,30%,0%,38%,9%,25%,19%,,,,,,,,,
,,Gendarmes,%,25%,26%,31%,3%,8%,19%,62%,4%,47%,10%,23%,26%,,,,,,,,,
,,[Sans réponse],%,1%,0%,0%,0%,1%,1%,0%,1%,1%,0%,1%,1%,,,,,,,,,
,,FACA,%,17%,17%,12%,0%,1%,54%,9%,2%,34%,53%,23%,23%,,,,,,,,,
,,MINUSCA,%,11%,18%,16%,0%,0%,33%,63%,5%,56%,48%,17%,27%,,,,,,,,,
,"Mauvais traitements, autre que corruption, par les acteurs dans les 12 derniers mois (% oui) ",Police,%,11%,8%,21%,1%,7%,28%,20%,0%,6%,5%,15%,14%,,,,,,,,,
,,Gendarmes,%,8%,8%,23%,2%,5%,29%,34%,2%,11%,3%,7%,14%,,,,,,,,,
,,FACA,%,5%,8%,16%,0%,3%,10%,7%,0%,9%,9%,7%,7%,,,,,,,,,
,,MINUSCA,%,6%,10%,1%,0%,0%,1%,13%,0%,15%,13%,7%,6%,,,,,,,,,
,Police - types of mauvais traitements (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,9%,28%,16%,0%,40%,23%,7%,0%,34%,0%,22%,18%,,,,,,,,,
,,Violences physiques,%,24%,44%,7%,0%,13%,10%,5%,0%,22%,0%,18%,13%,,,,,,,,,
,,Corruption/ demande d'argent,%,66%,56%,89%,100%,93%,98%,89%,100%,65%,100%,59%,81%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,31%,22%,27%,0%,60%,5%,27%,0%,35%,25%,29%,23%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,14%,56%,3%,0%,20%,0%,36%,100%,7%,17%,14%,14%,,,,,,,,,
,,Extorsion,%,7%,6%,0%,0%,33%,0%,39%,0%,28%,17%,9%,11%,,,,,,,,,
,,Discrimination,%,24%,11%,9%,35%,33%,7%,5%,0%,43%,8%,20%,14%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,3%,1%,,,,,,,,,
,,Autre,%,6%,0%,0%,0%,7%,0%,0%,0%,41%,0%,2%,2%,,,,,,,,,
,Gendarmes - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,12%,17%,5%,0%,9%,26%,0%,0%,18%,0%,12%,11%,,,,,,,,,
,,Violences physiques,%,20%,22%,9%,0%,9%,16%,1%,0%,15%,0%,17%,11%,,,,,,,,,
,,Corruption/ demande d/argent,%,64%,61%,76%,100%,91%,97%,79%,82%,43%,100%,51%,77%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,27%,17%,21%,0%,64%,16%,44%,0%,29%,17%,45%,29%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,11%,44%,9%,0%,9%,2%,23%,18%,18%,33%,11%,13%,,,,,,,,,
,,Extorsion,%,16%,6%,0%,0%,18%,0%,29%,0%,14%,33%,10%,11%,,,,,,,,,
,,Discrimination,%,11%,28%,4%,19%,91%,6%,7%,82%,21%,0%,12%,11%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,1%,6%,0%,0%,9%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Autre,%,10%,0%,0%,0%,0%,2%,0%,0%,53%,0%,2%,5%,,,,,,,,,
,FACA - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,13%,24%,26%,0%,14%,43%,7%,0%,41%,18%,17%,24%,,,,,,,,,
,,Violences physiques,%,27%,41%,26%,0%,43%,38%,27%,0%,28%,0%,27%,28%,,,,,,,,,
,,Corruption/ demande d/argent,%,41%,65%,49%,0%,57%,95%,87%,0%,71%,100%,53%,66%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,23%,24%,11%,100%,29%,10%,20%,0%,28%,36%,28%,21%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,13%,65%,37%,0%,14%,0%,80%,0%,38%,18%,26%,32%,,,,,,,,,
,,Extorsion,%,8%,0%,4%,0%,86%,0%,67%,0%,72%,9%,11%,19%,,,,,,,,,
,,Discrimination,%,26%,6%,7%,100%,43%,0%,13%,0%,18%,14%,23%,14%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,1%,6%,4%,0%,0%,0%,0%,0%,9%,0%,2%,3%,,,,,,,,,
,,Autre,%,13%,0%,0%,0%,14%,0%,0%,0%,14%,0%,4%,4%,,,,,,,,,
,MINUSCA - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,7%,0%,50%,0%,0%,22%,0%,0%,8%,3%,9%,10%,,,,,,,,,
,,Violences physiques,%,11%,5%,0%,0%,0%,11%,0%,0%,5%,10%,22%,11%,,,,,,,,,
,,Corruption/ demande d/argent,%,31%,14%,0%,0%,67%,4%,0%,0%,11%,0%,31%,16%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,22%,5%,0%,100%,33%,0%,100%,0%,0%,0%,15%,8%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,4%,14%,0%,0%,0%,0%,0%,0%,3%,0%,6%,4%,,,,,,,,,
,,Extorsion,%,7%,0%,0%,0%,0%,0%,0%,0%,3%,20%,7%,5%,,,,,,,,,
,,Discrimination,%,67%,5%,0%,0%,33%,56%,100%,0%,28%,97%,65%,52%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,6%,86%,50%,0%,0%,30%,0%,0%,6%,0%,8%,20%,,,,,,,,,
,,Autre,%,19%,0%,0%,0%,0%,22%,0%,0%,67%,3%,8%,22%,,,,,,,,,
CRIMES - vols à domicile,Victime d'un vol ou tentative de vol/cambriolage à votre domicile (12 derniers mois),Oui,%,23%,16%,19%,5%,8%,4%,37%,13%,28%,48%,27%,22%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,47%,26%,26%,31%,50%,38%,28%,25%,53%,76%,52%,43%,,,,,,,,,
,,oui,%,53%,74%,74%,69%,50%,62%,72%,75%,47%,24%,48%,57%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,18%,33%,0%,27%,0%,0%,36%,56%,16%,1%,23%,18%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,27%,33%,0%,27%,67%,33%,50%,28%,13%,5%,25%,23%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,16%,44%,0%,27%,67%,33%,27%,11%,0%,12%,15%,16%,,,,,,,,,
,, Je ne connais pas les auteurs,%,62%,11%,92%,73%,67%,100%,73%,78%,78%,15%,58%,56%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,7%,0%,8%,27%,11%,67%,9%,0%,3%,6%,8%,8%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,4%,0%,0%,0%,22%,67%,23%,0%,6%,23%,3%,11%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,4%,0%,8%,0%,22%,0%,18%,0%,3%,44%,3%,13%,,,,,,,,,
,,Autre,%,3%,0%,0%,0%,0%,0%,0%,11%,6%,1%,2%,2%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,14%,15%,16%,13%,33%,20%,5%,4%,22%,0%,38%,16%,,,,,,,,,
,,"oui, au chef de quartier",%,68%,65%,60%,75%,67%,80%,84%,100%,78%,15%,59%,70%,,,,,,,,,
,,"oui, au tribunal",%,1%,15%,4%,0%,0%,0%,0%,0%,0%,0%,5%,2%,,,,,,,,,
,,"oui, à la gendarmerie",%,28%,42%,45%,44%,44%,40%,18%,11%,15%,4%,12%,21%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,2%,8%,3%,0%,0%,20%,30%,0%,54%,0%,2%,15%,,,,,,,,,
,,"oui, à un parent",%,31%,0%,14%,0%,33%,40%,51%,83%,18%,11%,23%,31%,,,,,,,,,
,,"Oui, procureur/ parquet",%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,1%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,33%,0%,2%,6%,9%,78%,3%,7%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,29%,29%,32%,54%,39%,62%,46%,25%,29%,43%,23%,32%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,23%,20%,29%,46%,22%,62%,34%,13%,12%,4%,16%,20%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,51%,62%,64%,58%,67%,40%,53%,45%,79%,4%,58%,59%,,,,,,,,,
,,oui,%,49%,38%,36%,42%,33%,60%,47%,55%,21%,96%,41%,40%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,17%,50%,30%,21%,50%,0%,30%,92%,92%,0%,23%,37%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,82%,44%,65%,57%,67%,100%,80%,54%,80%,0%,71%,74%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,8%,13%,11%,43%,0%,0%,13%,8%,0%,0%,5%,8%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,1%,6%,7%,0%,0%,0%,3%,0%,4%,0%,2%,4%,,,,,,,,,
,,Trop lent,%,3%,6%,24%,0%,17%,0%,7%,46%,0%,0%,17%,13%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,6%,3%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,0%,7%,0%,0%,0%,13%,0%,0%,100%,8%,8%,,,,,,,,,
,,Autre,%,11%,13%,0%,0%,33%,0%,7%,0%,23%,0%,7%,9%,,,,,,,,,
CRIMES - hors domicile,Victime d'un vol ou tentative de vol/cambriolage hors de votre domicile (12 derniers mois),Oui,%,16%,7%,19%,8%,3%,5%,36%,6%,16%,6%,17%,16%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,36%,73%,36%,37%,43%,64%,45%,39%,55%,93%,48%,46%,,,,,,,,,
,,oui,%,64%,27%,64%,63%,57%,36%,55%,61%,45%,7%,52%,54%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,24%,27%,5%,15%,0%,0%,57%,58%,44%,8%,31%,33%,,,,,,,,,
