Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,Autres causes d’insécurité (% répondants - réponses multiples),Aucun problème de sécurité,%,6%,6%,6%,7%,20%,7%,5%,13%,6%,5%,11%,7%,7%,,,,,,,,,
,,Absence de passants,%,5%,5%,6%,8%,9%,4%,0%,6%,2%,3%,4%,3%,4%,,,,,,,,,
,,"La peur d’être volé, agressé(e)s physiquement",%,54%,35%,19%,30%,41%,53%,7%,21%,28%,60%,30%,27%,32%,,,,,,,,,
,,"Le manque de propreté, endroits insalubres",%,25%,27%,13%,10%,23%,30%,18%,3%,8%,27%,17%,3%,15%,,,,,,,,,
,,Le manque d’éclairage,%,59%,56%,53%,52%,47%,60%,25%,48%,44%,66%,44%,41%,48%,,,,,,,,,
,,Le manque de présence policière centrafricaine,%,22%,12%,11%,15%,27%,32%,15%,10%,11%,21%,12%,13%,16%,,,,,,,,,
,,Les trafiquants de drogue / les drogués,%,1%,8%,19%,18%,12%,14%,6%,13%,20%,9%,10%,20%,13%,,,,,,,,,
,,Les trafiquants armes et autres marchandises,%,0%,4%,6%,7%,8%,7%,1%,6%,6%,5%,5%,5%,5%,,,,,,,,,
,,La présence de mendiants ou vendeur à la sauvette,%,0%,1%,1%,2%,6%,7%,1%,1%,1%,5%,1%,0%,2%,,,,,,,,,
,,La présence de personnes ivres,%,2%,1%,6%,4%,7%,9%,1%,6%,4%,5%,4%,5%,4%,,,,,,,,,
,,Les groupes de jeunes ou d’autres bandes agressives (clans),%,10%,14%,15%,14%,21%,17%,7%,10%,21%,13%,8%,15%,14%,,,,,,,,,
,,La présence de violeurs,%,0%,4%,5%,5%,10%,10%,6%,5%,5%,6%,5%,5%,5%,,,,,,,,,
,,La présence de check points sur les routes,%,1%,1%,1%,3%,11%,9%,9%,2%,1%,8%,1%,2%,4%,,,,,,,,,
,,"La présence de bandits, criminels, voleurs",%,20%,16%,11%,13%,24%,25%,19%,10%,24%,28%,15%,19%,19%,,,,,,,,,
,,"La présence de groupes armés (anti-Balaka, ex-Seleka, LRA)",%,0%,5%,6%,10%,9%,8%,4%,10%,9%,5%,5%,9%,7%,,,,,,,,,
,,La présence des policiers/ gendarmes,%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,1%,,,,,,,,,
,,La présence des FACA,%,0%,0%,0%,1%,0%,0%,0%,2%,1%,0%,0%,0%,1%,,,,,,,,,
,,La présence de la MINUSCA,%,0%,0%,0%,0%,0%,0%,3%,4%,1%,0%,0%,2%,1%,,,,,,,,,
,,Le manque de présence de gendarmerie nationale,%,5%,3%,14%,12%,10%,14%,18%,7%,11%,9%,4%,13%,10%,,,,,,,,,
,,Présence des musulmans,%,0%,6%,1%,1%,6%,6%,2%,0%,1%,5%,2%,0%,2%,,,,,,,,,
,,Présence  des Peuls,%,0%,4%,0%,1%,5%,6%,0%,1%,1%,5%,1%,0%,2%,,,,,,,,,
,,Manque de présence des FACA,%,8%,9%,10%,15%,6%,10%,14%,11%,10%,5%,5%,14%,10%,,,,,,,,,
,,Sorcellerie,%,12%,9%,9%,5%,5%,16%,2%,4%,6%,15%,13%,6%,8%,,,,,,,,,
,,"Rumeurs (attaques, groupes armés…)",%,1%,10%,4%,5%,10%,8%,10%,2%,9%,12%,7%,4%,7%,,,,,,,,,
,,"Circulation d'armes, absence de DDR",%,18%,32%,28%,25%,20%,20%,49%,26%,26%,22%,21%,32%,28%,,,,,,,,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",%,46%,57%,64%,61%,32%,39%,42%,62%,38%,35%,55%,57%,48%,,,,,,,,,
,,Autre,%,2%,6%,5%,6%,2%,3%,5%,5%,6%,3%,3%,5%,4%,,,,,,,,,
,Mesures pour se sentir plus en sécurité (% répondants - réponses multiples),Plus de policiers centrafricains,%,25%,24%,33%,26%,37%,33%,31%,24%,28%,29%,23%,23%,28%,,,,,,,,,
,, Moins de policiers centrafricains,%,0%,1%,0%,1%,0%,0%,0%,1%,1%,0%,0%,0%,1%,,,,,,,,,
,,Plus de groupes d’autodéfense du quartier,%,25%,17%,6%,7%,19%,20%,3%,5%,3%,20%,12%,2%,10%,,,,,,,,,
,,Moins de groupes d’autodéfense du quartier,%,0%,0%,0%,0%,0%,2%,2%,0%,1%,0%,0%,3%,1%,,,,,,,,,
,,Plus de nettoyage du quartier,%,34%,37%,40%,27%,32%,37%,17%,23%,28%,37%,32%,22%,29%,,,,,,,,,
,,Moins d’attroupements de bandes au bord des routes,%,1%,4%,5%,2%,1%,1%,1%,5%,7%,0%,2%,5%,4%,,,,,,,,,
,,Plus d'éclairage public,%,54%,60%,52%,53%,48%,67%,31%,52%,50%,70%,50%,50%,53%,,,,,,,,,
,,Plus de patrouilles policières dans les quartiers,%,46%,36%,41%,42%,48%,57%,30%,30%,37%,65%,39%,38%,41%,,,,,,,,,
,,Avoir un poste de police dans le quartier,%,30%,24%,27%,31%,22%,28%,30%,18%,15%,24%,20%,18%,23%,,,,,,,,,
,,Plus de gendarmes nationaux,%,14%,19%,25%,16%,31%,24%,24%,17%,20%,25%,18%,17%,20%,,,,,,,,,
,,Moins de gendarmes nationaux,%,0%,0%,1%,0%,2%,1%,0%,1%,3%,0%,2%,0%,1%,,,,,,,,,
,,Créer un réseau d'alerte,%,10%,11%,5%,7%,16%,15%,7%,9%,14%,15%,8%,14%,11%,,,,,,,,,
,,Améliorer le réseau d'alerte,%,10%,10%,4%,4%,14%,11%,6%,9%,5%,10%,7%,10%,8%,,,,,,,,,
,,Désarmement (DDR),%,51%,51%,38%,50%,51%,45%,64%,51%,68%,48%,48%,65%,55%,,,,,,,,,
,,Arrêter/ éliminer les groupes armés,%,14%,23%,21%,21%,19%,10%,5%,24%,31%,14%,20%,31%,20%,,,,,,,,,
,,"Plus de communication, dialogue, cohésion sociale",%,21%,42%,38%,38%,27%,19%,39%,48%,36%,26%,37%,47%,36%,,,,,,,,,
,,"Plus de développement, emploi",%,56%,65%,60%,55%,40%,42%,51%,62%,35%,44%,59%,52%,51%,,,,,,,,,
,,Autre,%,5%,7%,5%,7%,4%,3%,8%,6%,9%,3%,4%,7%,6%,,,,,,,,,
ACTEURS DE SÉCURITÉ (GENERAL),Personnes ou groupes qui assurent principalement la sécurité dans ce quartier/village (% répondants),Personne,%,4%,5%,14%,20%,2%,10%,42%,15%,17%,5%,6%,11%,15%,,,,,,,,,
,,La police centrafricaine,%,4%,11%,7%,5%,15%,13%,2%,2%,17%,18%,12%,12%,10%,,,,,,,,,
,,La gendarmerie nationale,%,15%,2%,1%,2%,9%,1%,10%,0%,0%,2%,5%,0%,3%,,,,,,,,,
,,Les sociétés privées de gardiennage,%,1%,0%,0%,0%,5%,1%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Les chefs de quartier,%,16%,30%,38%,39%,20%,37%,5%,34%,13%,17%,35%,28%,24%,,,,,,,,,
,,La police municipale,%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,,,,,,,,,
,,Les groupes d’autodéfense,%,0%,0%,1%,2%,0%,0%,0%,0%,1%,1%,0%,1%,1%,,,,,,,,,
,,Les groupes armés,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Les FACA,%,0%,4%,1%,1%,20%,1%,1%,14%,0%,3%,4%,0%,3%,,,,,,,,,
,,La MINUSCA,%,0%,0%,0%,0%,0%,5%,12%,0%,1%,0%,2%,0%,2%,,,,,,,,,
,,Population elle-même,%,18%,9%,19%,10%,10%,8%,11%,16%,28%,14%,10%,21%,16%,,,,,,,,,
,,Dieu,%,41%,37%,19%,20%,19%,23%,15%,17%,21%,39%,24%,24%,24%,,,,,,,,,
,,Autre,%,0%,0%,0%,1%,0%,1%,0%,0%,2%,0%,0%,0%,1%,,,,,,,,,
,Autres personnes ou groupes qui assurent la sécurité dans ce quartier/village (% répondants),Personne,%,7%,5%,5%,5%,5%,9%,37%,14%,23%,6%,3%,10%,14%,,,,,,,,,
,,La police centrafricaine,%,14%,29%,19%,15%,56%,27%,8%,6%,26%,41%,33%,18%,21%,,,,,,,,,
,,La gendarmerie nationale,%,22%,13%,6%,19%,50%,18%,30%,5%,9%,17%,30%,6%,16%,,,,,,,,,
,,Les sociétés privées de gardiennage,%,3%,2%,1%,0%,19%,5%,0%,0%,0%,1%,1%,0%,2%,,,,,,,,,
,,Les chefs de quartier,%,43%,57%,54%,58%,33%,44%,4%,56%,37%,47%,54%,53%,43%,,,,,,,,,
,,La police municipale,%,2%,4%,0%,1%,3%,1%,0%,1%,0%,3%,1%,0%,1%,,,,,,,,,
,,Les groupes d’autodéfense,%,0%,2%,3%,3%,0%,4%,0%,1%,2%,1%,1%,2%,2%,,,,,,,,,
,,Les groupes armés,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,,,,,
,,Les FACA,%,4%,7%,5%,6%,32%,8%,4%,21%,6%,5%,22%,1%,8%,,,,,,,,,
,,La MINUSCA,%,0%,0%,0%,2%,18%,12%,39%,2%,4%,6%,18%,1%,9%,,,,,,,,,
,,Population elle-même,%,50%,48%,68%,56%,28%,33%,17%,58%,44%,47%,44%,63%,46%,,,,,,,,,
,,Dieu,%,55%,46%,48%,34%,39%,45%,16%,39%,44%,52%,39%,44%,41%,,,,,,,,,
,,Autre,%,1%,2%,3%,6%,1%,1%,0%,3%,4%,1%,4%,3%,3%,,,,,,,,,
ACTEURS DE SECURITE (PRESENCE ET FREQUENCE),Présence d'une base ou une unité dans ce quartier / village (% oui),Police,%,18%,50%,44%,33%,74%,25%,19%,22%,63%,50%,62%,47%,40%,,,,,,,,,
,,Gendarmes,%,28%,31%,22%,35%,67%,7%,35%,18%,20%,8%,53%,18%,24%,,,,,,,,,
,,FACA,%,12%,29%,21%,20%,60%,10%,14%,38%,19%,13%,60%,17%,22%,,,,,,,,,
,,MINUSCA,%,2%,17%,7%,15%,33%,30%,55%,13%,17%,11%,40%,12%,21%,,,,,,,,,
,Fréquence de la présence de la police pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,21%,35%,19%,12%,56%,20%,7%,21%,29%,43%,49%,15%,25%,,,,,,,,,
,,2-6 jours par semaine,%,4%,2%,17%,9%,3%,5%,7%,17%,14%,4%,12%,14%,10%,,,,,,,,,
,,1 jour par semaine,%,5%,3%,9%,7%,5%,3%,14%,5%,7%,3%,3%,9%,6%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,2%,2%,3%,7%,2%,1%,12%,0%,4%,1%,2%,2%,4%,,,,,,,,,
,,Rarement,%,28%,33%,33%,35%,24%,41%,48%,38%,37%,33%,28%,52%,38%,,,,,,,,,
,,Jamais,%,40%,25%,19%,29%,11%,29%,12%,18%,9%,16%,6%,9%,17%,,,,,,,,,
,Fréquence de la présence des gendarmes pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,29%,24%,6%,15%,48%,7%,20%,18%,14%,20%,34%,9%,18%,,,,,,,,,
,,2-6 jours par semaine,%,2%,1%,15%,8%,2%,7%,3%,14%,15%,3%,16%,13%,9%,,,,,,,,,
,,1 jour par semaine,%,2%,5%,7%,8%,4%,4%,13%,8%,11%,5%,5%,10%,8%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,1%,1%,4%,8%,2%,1%,24%,3%,4%,1%,1%,5%,5%,,,,,,,,,
,,Rarement,%,31%,24%,43%,31%,26%,45%,33%,33%,38%,40%,31%,43%,36%,,,,,,,,,
,,Jamais,%,34%,45%,26%,30%,19%,36%,6%,24%,18%,32%,13%,21%,24%,,,,,,,,,
,Fréquence de la présence des FACA pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,14%,23%,7%,6%,43%,8%,7%,32%,13%,21%,42%,5%,16%,,,,,,,,,
,,2-6 jours par semaine,%,4%,2%,9%,7%,2%,2%,3%,10%,5%,2%,10%,11%,6%,,,,,,,,,
,,1 jour par semaine,%,3%,2%,9%,5%,6%,3%,7%,6%,7%,1%,6%,5%,5%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,1%,2%,2%,11%,2%,1%,14%,2%,3%,1%,1%,1%,4%,,,,,,,,,
,,Rarement,%,16%,29%,40%,33%,18%,24%,57%,25%,32%,23%,24%,40%,32%,,,,,,,,,
,,Jamais,%,62%,42%,33%,38%,28%,62%,11%,24%,39%,51%,18%,38%,37%,,,,,,,,,
,Fréquence de la présence de la MINUSCA pour leur travail dans ce quartier / village (% repondants),Tous les jours,%,3%,14%,2%,6%,31%,19%,36%,11%,16%,14%,32%,8%,16%,,,,,,,,,
,,2-6 jours par semaine,%,4%,1%,5%,5%,3%,6%,8%,8%,8%,5%,11%,5%,6%,,,,,,,,,
,,1 jour par semaine,%,4%,3%,2%,2%,10%,5%,15%,6%,9%,5%,7%,5%,7%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,4%,2%,2%,5%,3%,2%,17%,5%,4%,1%,2%,4%,5%,,,,,,,,,
,,Rarement,%,19%,28%,47%,36%,33%,30%,23%,28%,29%,24%,20%,40%,29%,,,,,,,,,
,,Jamais,%,66%,52%,41%,45%,20%,39%,1%,43%,33%,51%,28%,37%,37%,,,,,,,,,
ACTEURS DE SECURITE (PERCEPTION DU TRAVAIL),Confiance dans les acteurs pour assurer la sécurité en Centrafrique (% confiants),Police,%,66%,69%,58%,55%,62%,52%,16%,49%,52%,74%,64%,50%,53%,,,,,,,,,
,,Gendarmes,%,71%,69%,58%,61%,62%,52%,31%,52%,50%,72%,69%,49%,55%,,,,,,,,,
,,FACA,%,60%,66%,61%,60%,55%,45%,22%,53%,46%,67%,67%,50%,52%,,,,,,,,,
,,MINUSCA,%,46%,45%,38%,35%,39%,37%,52%,25%,21%,44%,45%,29%,36%,,,,,,,,,
,Perception du travail des acteurs pour assurer la sécurité dans votre quartier / village ou la région pour la MINUSCA (% positifs),Police,%,40%,58%,52%,38%,76%,60%,38%,42%,50%,70%,63%,52%,51%,,,,,,,,,
,,Gendarmes,%,58%,57%,53%,48%,77%,60%,54%,49%,59%,56%,71%,56%,56%,,,,,,,,,
,,FACA,%,36%,55%,53%,45%,71%,53%,48%,56%,55%,53%,70%,50%,53%,,,,,,,,,
,,MINUSCA,%,24%,37%,41%,31%,56%,41%,67%,28%,34%,34%,50%,37%,39%,,,,,,,,,
,Perception du travail des acteurs pour arrêter les criminels dans votre quartier / village (% positifis),Police,%,43%,65%,63%,45%,77%,71%,43%,48%,63%,75%,67%,57%,58%,,,,,,,,,
,,Gendarmes,%,62%,58%,62%,55%,80%,62%,52%,53%,61%,66%,70%,59%,60%,,,,,,,,,
,,FACA,%,40%,52%,56%,50%,75%,55%,52%,55%,50%,60%,63%,46%,53%,,,,,,,,,
,,MINUSCA,%,27%,41%,43%,34%,50%,42%,63%,29%,34%,37%,47%,31%,39%,,,,,,,,,
,Perception du travail des acteurs pour lutter contre les groupes armés (% positifis),Police,%,52%,62%,52%,45%,70%,66%,46%,44%,50%,74%,63%,46%,54%,,,,,,,,,
,,Gendarmes,%,62%,56%,63%,46%,74%,65%,57%,48%,54%,73%,68%,52%,58%,,,,,,,,,
,,FACA,%,62%,64%,66%,54%,91%,82%,58%,62%,63%,79%,78%,61%,66%,,,,,,,,,
,,MINUSCA,%,35%,43%,44%,34%,58%,57%,66%,35%,32%,47%,52%,32%,43%,,,,,,,,,
,Perception du travail des acteurs pour protéger la population (% positifs),Police,%,47%,72%,68%,67%,74%,62%,40%,59%,66%,72%,74%,56%,61%,,,,,,,,,
,,Gendarmes,%,63%,63%,66%,57%,81%,60%,49%,63%,61%,62%,75%,56%,61%,,,,,,,,,
,,FACA,%,46%,60%,67%,65%,81%,58%,49%,63%,51%,59%,71%,56%,58%,,,,,,,,,
,,MINUSCA,%,34%,47%,43%,39%,57%,49%,60%,31%,30%,40%,48%,35%,41%,,,,,,,,,
,Amélioration du travail dans les 12 derniers mois (% un peu-fortement amélioré),Police,%,81%,94%,82%,92%,90%,87%,67%,91%,83%,91%,93%,87%,85%,,,,,,,,,
,,Gendarmes,%,90%,93%,86%,95%,91%,86%,71%,95%,88%,94%,94%,91%,89%,,,,,,,,,
,,FACA,%,84%,88%,80%,82%,88%,85%,64%,87%,81%,90%,87%,84%,82%,,,,,,,,,
,,MINUSCA,%,55%,59%,53%,56%,55%,55%,70%,50%,46%,61%,59%,43%,55%,,,,,,,,,
ACTEURS DE SECURITE (TRAITEMENT DE LA POPULATION),Traitement de la population de façon respectueuse (% positifis),Police,%,48%,56%,49%,52%,43%,45%,20%,35%,39%,49%,52%,39%,42%,,,,,,,,,
,,Gendarmes,%,62%,60%,52%,56%,61%,57%,32%,48%,45%,62%,60%,44%,51%,,,,,,,,,
,,FACA,%,54%,56%,46%,47%,48%,45%,24%,41%,37%,54%,53%,36%,43%,,,,,,,,,
,,MINUSCA,%,62%,57%,47%,40%,58%,54%,38%,34%,34%,62%,54%,34%,45%,,,,,,,,,
,Traitement des hommes et femmes de façon égale (% positifis),Police,%,60%,60%,56%,60%,43%,49%,26%,42%,45%,55%,60%,40%,47%,,,,,,,,,
,,Gendarmes,%,70%,66%,62%,53%,57%,60%,33%,46%,42%,56%,62%,42%,51%,,,,,,,,,
,,FACA,%,67%,62%,53%,55%,52%,45%,35%,42%,37%,56%,60%,40%,47%,,,,,,,,,
,,MINUSCA,%,59%,56%,53%,50%,56%,55%,49%,37%,42%,55%,60%,41%,49%,,,,,,,,,
,Traitement de tous les groupes ethniques et religieux de façon égale (% positifis),Police,%,73%,60%,57%,59%,62%,58%,31%,41%,40%,71%,60%,44%,51%,,,,,,,,,
,,Gendarmes,%,76%,66%,58%,51%,64%,64%,28%,42%,40%,74%,65%,39%,51%,,,,,,,,,
,,FACA,%,75%,64%,53%,54%,54%,56%,34%,40%,33%,67%,62%,40%,49%,,,,,,,,,
,,MINUSCA,%,59%,55%,52%,43%,52%,51%,49%,29%,36%,57%,54%,33%,45%,,,,,,,,,
ACTEURS DE SECURITE (COMPORTEMENTS),Perception du travail de la police professionel ou abus de pouvoir (% répondants),Professionnelle,%,69%,80%,79%,80%,70%,68%,62%,74%,74%,71%,80%,80%,73%,,,,,,,,,
,,Abus de pouvoir,%,31%,20%,21%,20%,30%,32%,34%,26%,25%,29%,20%,20%,26%,,,,,,,,,
,"Perception du travail des gendarmes, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,82%,88%,84%,88%,86%,85%,73%,80%,84%,89%,89%,89%,84%,,,,,,,,,
,,Abus de pouvoir,%,18%,12%,16%,12%,14%,15%,23%,19%,15%,11%,11%,10%,15%,,,,,,,,,
,"Perception du travail ds FACA, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,78%,86%,87%,88%,76%,86%,68%,84%,85%,82%,85%,90%,83%,,,,,,,,,
,,Abus de pouvoir,%,22%,14%,13%,11%,24%,14%,30%,15%,15%,18%,15%,9%,17%,,,,,,,,,
,"Perception du travail de la MINUSCA, professionel ou abus de pouvoir (% répondants)",Professionnelle,%,66%,73%,75%,72%,67%,71%,84%,68%,65%,71%,80%,70%,72%,,,,,,,,,
,,Abus de pouvoir,%,33%,27%,24%,27%,33%,29%,9%,30%,35%,29%,20%,30%,27%,,,,,,,,,
,Perception du niveau de corruption des acteurs (% beaucoup et extrêmement) ,Police,%,53%,40%,48%,41%,46%,42%,44%,52%,50%,47%,42%,49%,47%,,,,,,,,,
,,Gendarmes,%,28%,27%,29%,27%,30%,29%,30%,31%,32%,22%,25%,29%,29%,,,,,,,,,
,,FACA,%,23%,19%,23%,26%,32%,27%,42%,20%,26%,15%,21%,25%,25%,,,,,,,,,
,,MINUSCA,%,22%,15%,19%,22%,16%,11%,11%,18%,14%,13%,19%,16%,16%,,,,,,,,,
,Payé personnellement un pot-de-vin aux acteurs dans les 12 derniers mois (% oui),Police,%,11%,9%,16%,14%,15%,10%,20%,22%,18%,15%,14%,14%,16%,,,,,,,,,
,,Gendarmes,%,5%,4%,11%,13%,6%,6%,15%,11%,12%,3%,6%,10%,9%,,,,,,,,,
,,FACA,%,2%,4%,8%,9%,7%,5%,20%,9%,6%,0%,7%,6%,7%,,,,,,,,,
,,MINUSCA,%,0%,2%,5%,7%,2%,3%,2%,4%,3%,0%,2%,4%,3%,,,,,,,,,
,Aidé par les acteurs dans les 12 derniers mois (% oui),Police,%,15%,28%,29%,28%,34%,22%,8%,29%,36%,19%,29%,28%,25%,,,,,,,,,
,,Gendarmes,%,20%,23%,26%,34%,31%,18%,9%,30%,32%,14%,26%,30%,24%,,,,,,,,,
,,[Sans réponse],%,0%,0%,1%,0%,0%,1%,2%,0%,0%,1%,0%,0%,1%,,,,,,,,,
,,FACA,%,13%,25%,24%,29%,31%,20%,6%,38%,27%,16%,27%,21%,23%,,,,,,,,,
,,MINUSCA,%,11%,18%,16%,25%,19%,18%,16%,18%,19%,11%,22%,15%,17%,,,,,,,,,
,"Mauvais traitements, autre que corruption, par les acteurs dans les 12 derniers mois (% oui) ",Police,%,12%,8%,15%,7%,16%,12%,15%,16%,18%,12%,8%,14%,14%,,,,,,,,,
,,Gendarmes,%,5%,3%,9%,10%,7%,5%,14%,2%,9%,3%,3%,8%,7%,,,,,,,,,
,,FACA,%,5%,2%,6%,2%,8%,6%,18%,3%,6%,2%,4%,5%,6%,,,,,,,,,
,,MINUSCA,%,5%,6%,7%,5%,13%,10%,3%,4%,10%,8%,3%,7%,7%,,,,,,,,,
,Police - types of mauvais traitements (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,15%,11%,6%,25%,23%,4%,53%,8%,22%,15%,17%,19%,20%,,,,,,,,,
,,Violences physiques,%,41%,56%,39%,19%,40%,38%,15%,19%,10%,26%,33%,6%,22%,,,,,,,,,
,,Corruption/ demande d'argent,%,44%,61%,79%,63%,51%,46%,56%,61%,60%,56%,61%,68%,59%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,41%,17%,21%,37%,6%,35%,6%,28%,35%,41%,28%,39%,29%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,11%,6%,33%,31%,17%,8%,15%,22%,10%,7%,11%,23%,16%,,,,,,,,,
,,Extorsion,%,11%,6%,18%,12%,11%,15%,3%,8%,7%,7%,17%,13%,9%,,,,,,,,,
,,Discrimination,%,44%,22%,12%,6%,51%,35%,18%,11%,17%,30%,33%,16%,21%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,0%,0%,0%,0%,11%,4%,3%,0%,5%,0%,6%,0%,2%,,,,,,,,,
,,Autre,%,0%,11%,6%,0%,6%,4%,0%,8%,0%,0%,0%,0%,2%,,,,,,,,,
,Gendarmes - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,8%,0%,20%,19%,6%,9%,10%,0%,20%,0%,17%,12%,13%,,,,,,,,,
,,Violences physiques,%,25%,67%,45%,19%,12%,18%,16%,0%,20%,33%,17%,12%,21%,,,,,,,,,
,,Corruption/ demande d/argent,%,33%,67%,70%,62%,31%,55%,39%,60%,55%,67%,50%,65%,53%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,67%,17%,20%,48%,19%,64%,65%,20%,45%,17%,33%,18%,44%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,25%,0%,15%,5%,12%,18%,3%,20%,15%,33%,17%,6%,11%,,,,,,,,,
,,Extorsion,%,33%,0%,30%,14%,44%,0%,6%,20%,10%,17%,33%,6%,13%,,,,,,,,,
,,Discrimination,%,0%,0%,15%,10%,62%,18%,6%,20%,10%,0%,17%,18%,11%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,8%,0%,0%,0%,6%,9%,0%,0%,5%,0%,0%,0%,2%,,,,,,,,,
,,Autre,%,0%,17%,15%,0%,6%,9%,0%,20%,0%,0%,0%,0%,3%,,,,,,,,,
,FACA - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,20%,20%,29%,0%,33%,8%,15%,14%,23%,20%,25%,10%,17%,,,,,,,,,
,,Violences physiques,%,60%,40%,43%,20%,33%,54%,23%,14%,23%,20%,38%,30%,29%,,,,,,,,,
,,Corruption/ demande d/argent,%,10%,60%,36%,80%,50%,31%,67%,57%,38%,20%,62%,50%,50%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,10%,0%,7%,0%,28%,23%,28%,0%,46%,40%,25%,10%,24%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,10%,40%,14%,0%,17%,23%,44%,0%,15%,0%,25%,10%,24%,,,,,,,,,
,,Extorsion,%,30%,0%,21%,0%,17%,15%,10%,14%,8%,40%,13%,0%,12%,,,,,,,,,
,,Discrimination,%,40%,0%,14%,20%,56%,38%,18%,29%,23%,40%,25%,10%,23%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,0%,0%,0%,20%,6%,15%,0%,0%,0%,0%,0%,0%,2%,,,,,,,,,
,,Autre,%,0%,60%,14%,0%,6%,0%,3%,29%,0%,0%,0%,10%,6%,,,,,,,,,
,MINUSCA - types of mauvais traitements  (% répondants parmi ceux qui ont dit qu'ils ont expérimenté des mauvais tratements),Insultes / harcelement verbal,%,0%,7%,13%,10%,7%,0%,0%,11%,14%,12%,0%,12%,9%,,,,,,,,,
,,Violences physiques,%,33%,7%,19%,0%,36%,38%,29%,11%,9%,35%,14%,19%,20%,,,,,,,,,
,,Corruption/ demande d/argent,%,33%,7%,44%,40%,32%,33%,0%,67%,32%,24%,29%,25%,31%,,,,,,,,,
,,Arrestation arbitraire/ détention illegale,%,25%,14%,0%,0%,7%,29%,0%,0%,23%,6%,14%,12%,14%,,,,,,,,,
,,Prennent de force les matériels (VOLS),%,0%,0%,6%,0%,7%,5%,0%,11%,5%,12%,0%,6%,5%,,,,,,,,,
,,Extorsion,%,17%,7%,6%,0%,4%,10%,0%,0%,14%,6%,14%,0%,7%,,,,,,,,,
,,Discrimination,%,58%,79%,56%,70%,89%,62%,43%,89%,55%,71%,71%,75%,65%,,,,,,,,,
,,Harcelement/ agressions sexuelles,%,0%,14%,19%,10%,25%,14%,0%,0%,5%,6%,14%,12%,8%,,,,,,,,,
,,Autre,%,17%,36%,25%,20%,11%,5%,29%,0%,5%,18%,29%,0%,12%,,,,,,,,,
CRIMES - vols à domicile,Victime d'un vol ou tentative de vol/cambriolage à votre domicile (12 derniers mois),Oui,%,24%,23%,24%,33%,18%,23%,16%,28%,39%,19%,25%,31%,27%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,34%,44%,43%,61%,31%,57%,77%,45%,53%,44%,49%,51%,51%,,,,,,,,,
,,oui,%,66%,56%,57%,39%,69%,43%,23%,55%,47%,56%,51%,49%,49%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,17%,18%,22%,20%,17%,31%,19%,25%,20%,21%,22%,31%,23%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,11%,14%,22%,14%,42%,31%,0%,32%,33%,11%,15%,34%,23%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,11%,9%,0%,14%,25%,21%,0%,14%,24%,0%,11%,14%,14%,,,,,,,,,
,, Je ne connais pas les auteurs,%,67%,77%,65%,73%,58%,59%,70%,39%,59%,63%,56%,60%,61%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,17%,0%,0%,0%,25%,7%,7%,4%,11%,16%,4%,3%,7%,,,,,,,,,
