Catégories,Variables,Réponses,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Bamingui Bangoran,Vakaga,Bangui,Unit,Source,Source Link
,,moins bien servies,15%,14%,32%,27%,5%,33%,23%,80%,48%,32%,49%,15%,%,,
,,même chose,15%,75%,25%,25%,76%,29%,6%,3%,29%,25%,18%,15%,%,,
,,[Sans réponse],0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,%,,
,Acceptance du retour d'une personne victime de violences sexuelles … (% oui),Dans votre communauté,92%,99%,99%,98%,84%,10%,63%,70%,31%,84%,97%,90%,%,,
,,Dans votre ménage,91%,99%,99%,98%,84%,44%,94%,91%,40%,93%,95%,90%,%,,
,,Dans votre ménage d'une femme/fille victime si elle a eu un enfant à cause de cet acte,87%,99%,83%,95%,72%,31%,89%,89%,42%,82%,97%,88%,%,,
,,Dans votre ménage d'une femme ou homme victime si elle/ il a eu une maladie ou blessure à cause de cet acte,87%,99%,98%,98%,62%,10%,79%,86%,38%,83%,97%,88%,%,,
,"Obstacles qui empêchent les victimes de violences sexuelles de porter plainte auprès des autorités (police, tribunal,…) (% oui) (plusieurs réponses)",Manque de confiance dans les autorités,8%,6%,17%,6%,10%,10%,6%,3%,22%,16%,15%,12%,%,,
,,Pression de la famille,12%,14%,7%,5%,4%,22%,4%,13%,10%,35%,41%,12%,%,,
,,Peur de représailles,32%,24%,49%,36%,56%,53%,47%,56%,38%,50%,43%,33%,%,,
,,Manque d'information sur où aller porter plainte,47%,52%,46%,29%,60%,44%,52%,63%,40%,20%,8%,34%,%,,
,,Inaccessibilité ou la distance des institutions,13%,2%,33%,22%,21%,8%,6%,14%,25%,7%,2%,6%,%,,
,,Manque de moyen financier,22%,34%,16%,32%,29%,11%,30%,34%,13%,13%,4%,18%,%,,
,,Inefficacité des autorités,7%,10%,18%,8%,13%,4%,15%,11%,41%,10%,0%,8%,%,,
,,Manque de temps,4%,1%,1%,1%,0%,3%,6%,0%,12%,10%,0%,4%,%,,
,,Traumatisme,37%,22%,41%,23%,4%,22%,47%,14%,29%,25%,41%,37%,%,,
,,Stigmatisation,39%,31%,5%,51%,26%,7%,13%,38%,39%,65%,45%,43%,%,,
,,"Autre, spécifier",4%,12%,1%,10%,6%,1%,17%,6%,4%,39%,1%,3%,%,,
,,Ne sait pas,3%,0%,4%,5%,2%,9%,0%,4%,0%,1%,0%,2%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
JUSTICE,La justice peut être faite dans le quartier/ village,oui,78%,90%,92%,97%,72%,84%,78%,78%,87%,78%,70%,69%,%,,
,Perception du système de justice national (plusieurs réponses),Ça n'existe pas/ impunité,5%,0%,1%,5%,1%,20%,3%,8%,2%,31%,14%,5%,%,,
,,Ils sont corrompus,30%,41%,28%,22%,25%,52%,44%,48%,34%,66%,35%,33%,%,,
,,Il faut payer,23%,24%,15%,43%,9%,22%,59%,16%,39%,51%,15%,23%,%,,
,,C'est la justice des riches,25%,39%,22%,35%,25%,38%,31%,21%,32%,48%,33%,23%,%,,
,,"Ça fonctionne bien; il y a des bâtiments, juges, personnel….",44%,25%,26%,47%,69%,13%,41%,30%,60%,17%,0%,42%,%,,
,,La justice est rendue comme elle le devrait,36%,37%,52%,25%,52%,22%,31%,37%,49%,34%,22%,34%,%,,
,,Je ne connais pas assez pour avoir une opinion,6%,20%,6%,4%,2%,3%,3%,3%,1%,6%,45%,9%,%,,
,,"Autre, spécifier",1%,2%,1%,1%,3%,0%,0%,1%,0%,1%,1%,1%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,%,,
,Mesures pour améliorer le système de justice (plusieurs reponses),C'est impossible à améliorer,3%,0%,2%,5%,0%,5%,1%,1%,2%,4%,1%,3%,%,,
,,"Former les juges, avocats,",44%,53%,31%,31%,60%,25%,62%,71%,66%,22%,25%,45%,%,,
,,Combattre la corruption,70%,71%,81%,66%,63%,74%,84%,77%,89%,82%,44%,73%,%,,
,,Construire les infrastructures,27%,29%,36%,41%,20%,14%,24%,22%,17%,27%,81%,26%,%,,
,,informer la population,32%,46%,30%,60%,15%,19%,71%,29%,43%,30%,48%,36%,%,,
,,"Payer le personnel, les juges…",24%,30%,49%,40%,44%,36%,25%,6%,32%,10%,1%,24%,%,,
,,Sanctionner les juges,26%,56%,27%,50%,25%,17%,30%,13%,29%,35%,32%,24%,%,,
,,"Autre, spécifier",6%,3%,2%,0%,5%,2%,0%,3%,1%,32%,0%,5%,%,,
,,Ne sait pas,1%,1%,1%,1%,0%,0%,0%,2%,0%,0%,2%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Déjà eu recours aux tribunaux,oui,55%,78%,34%,51%,33%,49%,57%,30%,31%,33%,12%,45%,%,,
,Connaissance du système judiciaire national,% bonne et très bonne,57%,34%,72%,60%,29%,70%,79%,70%,73%,64%,49%,51%,%,,
,Confiance dans le système judiciaire formel,% confiant,51%,58%,74%,30%,67%,66%,78%,77%,62%,65%,46%,52%,%,,
,"Confiance dans la justice locale traditionelle (chefs de village, mairie, etc…)",% confiant,58%,76%,82%,78%,75%,68%,80%,81%,87%,46%,63%,53%,%,,
,"Confiance dans la justice alternative (mediation) (chefs religieux, associations, etc…)",% confiant,76%,84%,87%,88%,86%,76%,77%,94%,99%,67%,73%,73%,%,,
,Raisons de la confiance dans le système judiciare formel (plusieurs réponses),Je n'ai pas confiance dans le système de justice national,17%,23%,9%,30%,7%,5%,0%,5%,6%,3%,1%,19%,%,,
,,Les juges et le personnel sont bien formés,34%,14%,13%,47%,56%,21%,54%,33%,56%,55%,19%,32%,%,,
,,Les juges traitent tous les gens de façon juste et égale,39%,25%,42%,36%,40%,49%,71%,39%,73%,72%,50%,39%,%,,
,,Décisions au tribunal sont prises de façon juste,43%,22%,47%,14%,43%,26%,87%,18%,81%,65%,44%,41%,%,,
,,Il est toujours possible d'avoir son cas jugé au tribunal,26%,25%,21%,15%,15%,15%,3%,7%,12%,39%,6%,23%,%,,
,,J'ai confiance que nous aurons un tribunal un jour,15%,33%,3%,8%,3%,11%,0%,0%,3%,10%,41%,15%,%,,
,,J'ai confiance que nous aurons des juges un jour,14%,29%,0%,10%,3%,10%,0%,0%,5%,16%,37%,13%,%,,
,,Les problèmes sont traités par rapport au droit,29%,8%,35%,35%,44%,56%,37%,52%,31%,38%,17%,29%,%,,
,,"Autre, spécifier",4%,15%,2%,1%,6%,0%,0%,8%,8%,0%,0%,3%,%,,
,,Ne sait pas,0%,3%,1%,5%,0%,0%,0%,4%,0%,0%,1%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,%,,
,Perception du système de justice national incluant les forces de sécurité (% d'accord) (plusieurs réponses),Les victimes de crimes par la police ont la possibilité de se plaindre,97%,99%,99%,100%,98%,98%,97%,98%,89%,94%,96%,98%,%,,
,,Les policiers sont impunis,8%,9%,37%,9%,46%,8%,29%,17%,87%,22%,48%,8%,%,,
,,Il est possible d’éviter d’être arrêté si on paie la police,30%,6%,47%,41%,74%,68%,46%,9%,51%,30%,73%,26%,%,,
,,La police traite tous les groupes ethniques de la même façon,65%,90%,76%,70%,71%,95%,90%,93%,77%,80%,69%,64%,%,,
,,Il faut payer un pot de vin pour que la police travaille sur une plainte,21%,6%,41%,6%,24%,14%,17%,25%,39%,23%,20%,24%,%,,
,,Les juges prennent leurs décisions sans influence du gouvernement.,65%,68%,82%,60%,91%,89%,69%,62%,36%,71%,86%,66%,%,,
,,Les tribunaux traitent les gens de façon juste et égale,73%,72%,69%,59%,75%,91%,86%,91%,78%,80%,89%,73%,%,,
,,Les décisions du tribunal sont prises d’une façon juste,75%,71%,76%,58%,73%,92%,86%,92%,66%,83%,87%,76%,%,,
,,Il faut payer quelque chose pour avoir sa plainte traitée par les courts,23%,9%,37%,13%,15%,9%,18%,27%,35%,21%,52%,23%,%,,
,,Les victimes et témoins de crimes peuvent porter plainte à la police sans peur de représailles,89%,100%,94%,99%,99%,95%,99%,94%,54%,89%,97%,89%,%,,
,,La police traite les hommes et les femmes de façon égale,73%,93%,83%,92%,68%,99%,87%,67%,73%,80%,71%,78%,%,,
,,Les juges traitent les hommes et les femmes de façon égale,75%,83%,82%,96%,72%,98%,93%,70%,76%,82%,85%,78%,%,,
JUSTICE TRANSITIONELLE,Entendu parler de la Cour Pénale Spéciale (CPS),Oui,70%,45%,61%,87%,19%,64%,74%,40%,25%,43%,27%,73%,%,,
,Principale source d'information sur la CPS,Un parent,14%,12%,19%,11%,12%,18%,24%,31%,2%,6%,3%,6%,%,,
,,Un ami,6%,21%,8%,8%,5%,3%,13%,17%,0%,6%,0%,4%,%,,
,,Au marché,1%,0%,4%,1%,0%,0%,9%,1%,2%,1%,2%,1%,%,,
,,La radio,69%,66%,63%,76%,58%,71%,47%,49%,94%,76%,93%,81%,%,,
,,Les journeaux,3%,0%,0%,0%,2%,0%,1%,0%,0%,9%,2%,2%,%,,
,,Une organisation locale,3%,0%,3%,2%,8%,1%,6%,0%,0%,1%,0%,2%,%,,
,,Une organisation internationale,0%,0%,3%,0%,0%,2%,1%,0%,0%,0%,0%,0%,%,,
,,La TV,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,1%,%,,
,,Des gens de la Cour Pénale Spéciale,2%,0%,0%,0%,2%,4%,0%,0%,0%,1%,0%,2%,%,,
,,"Autre, spécifier",2%,1%,0%,2%,10%,1%,0%,0%,2%,1%,0%,0%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,%,,
,,Sans réponse,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Connaissance de la Cour Pénale Spéciale,% bonne et très bonne,41%,8%,44%,36%,18%,33%,74%,29%,52%,27%,5%,39%,%,,
,Niveau de confiance dans la Cour Pénale Spéciale,% confiant,31%,27%,53%,42%,66%,34%,46%,33%,56%,36%,7%,33%,%,,
,Contribution de la CPS à la justice pour les Centrafricains?,% Contribution positive,27%,31%,72%,67%,56%,31%,42%,31%,51%,26%,15%,29%,%,,
,Contribution de la CPS à la paix en Centrafrique,% Contribution positive,31%,48%,78%,68%,66%,33%,50%,34%,57%,28%,18%,33%,%,,
,Ce que la Cour Pénale Spéciale peut faire pour les individus (% des répondants) (plusieurs réponses),Rien,6%,6%,1%,1%,1%,5%,0%,40%,0%,25%,14%,9%,%,,
,,Justice - juger les personnes responsables (les chefs) des conflits,43%,49%,27%,58%,45%,11%,48%,32%,69%,34%,23%,45%,%,,
,,Justice - mettre les personnes responsables (les chefs) des conflits en prison,45%,68%,33%,55%,46%,28%,67%,45%,73%,52%,28%,49%,%,,
,,Justice - juger toutes les personnes qui ont commis des crimes en lien avec les conflits,43%,57%,60%,38%,66%,10%,85%,41%,81%,62%,20%,43%,%,,
,,Justice - mettre toutes les personnes qui ont commis des crimes en lien avec les conflits en prison,38%,25%,59%,30%,64%,52%,80%,29%,25%,55%,47%,34%,%,,
,,Reconnaître officiellement que je suis une victime des conflits,13%,1%,1%,8%,1%,11%,11%,5%,1%,16%,0%,14%,%,,
,,Donner un récit de ce s'est passé pendant les conflits - récit historique,8%,0%,0%,10%,0%,2%,0%,2%,0%,3%,0%,6%,%,,
,,Expliquer pourquoi il y a des conflits en RCA,20%,2%,4%,26%,0%,21%,11%,3%,1%,8%,6%,21%,%,,
,,Rétablir la paix dans le pays,36%,55%,56%,65%,18%,29%,48%,13%,36%,15%,27%,36%,%,,
,,"Me rendre ce que j'ai perdu pendant les conflits (maison, terre, biens)",9%,0%,3%,23%,1%,8%,6%,7%,11%,8%,3%,7%,%,,
,,"Me fournir des services (santé, santé mentale, éducation)",4%,1%,0%,7%,4%,3%,11%,6%,0%,12%,20%,6%,%,,
,,Me donner de l'argent,2%,0%,0%,7%,1%,3%,0%,3%,10%,1%,1%,2%,%,,
,,Me donner une autre compensation pour mes souffrances,5%,2%,0%,7%,0%,2%,5%,7%,3%,9%,0%,5%,%,,
,,Donner une compensation à ma communauté,3%,2%,0%,6%,0%,2%,4%,5%,0%,4%,2%,4%,%,,
,,"Autre, spécifier",2%,1%,1%,0%,21%,1%,0%,2%,5%,3%,0%,1%,%,,
,,Ne sait pas,7%,0%,0%,0%,3%,5%,0%,3%,0%,4%,0%,2%,%,,
,,[Sans réponse],8%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,1%,%,,
,"Ce que la Cour Pénale Spéciale peut faire pour le pays, la Centrafrique (% répondants) (plusieurs réponses)",Rien,3%,6%,2%,1%,1%,4%,0%,37%,0%,21%,11%,5%,%,,
,,Rendre justice pour les violences commises,54%,73%,66%,57%,57%,26%,73%,26%,30%,65%,55%,58%,%,,
,,Rétablir la sécurité,51%,56%,46%,69%,69%,53%,81%,47%,94%,60%,45%,49%,%,,
,,Rétablir la paix dans le pays,58%,58%,87%,71%,87%,36%,73%,43%,97%,56%,61%,55%,%,,
,,Faire que les communautés vivent ensemble,29%,19%,44%,54%,14%,32%,40%,19%,23%,48%,12%,28%,%,,
,,"Rétablir la confiance dans le pays, la RCA",29%,28%,20%,63%,11%,32%,43%,18%,49%,15%,28%,32%,%,,
,,"Autre, spécifier",1%,0%,0%,0%,2%,0%,0%,1%,1%,2%,0%,1%,%,,
,,Ne sait pas,7%,0%,0%,0%,3%,6%,0%,3%,0%,8%,0%,2%,%,,
,,[Sans réponse],8%,0%,0%,0%,0%,1%,0%,2%,0%,0%,0%,2%,%,,
,Entendu parler de la Cour Pénale Internationale ou CPI,Oui,70%,47%,62%,92%,8%,47%,69%,50%,46%,38%,34%,73%,%,,
,Connaissance de la Cour Pénale Internationale,% bonne et très bonne,34%,10%,38%,44%,13%,21%,80%,46%,54%,28%,11%,34%,%,,
,Niveau de confiance dans la Cour Pénale Internationale,% confiant,18%,27%,43%,48%,24%,27%,49%,41%,53%,21%,8%,22%,%,,
,Contribution de la Cour Pénale Internationale à la justice pour les Centrafricains?,% Contribution positive,20%,27%,54%,67%,23%,24%,38%,36%,52%,6%,13%,23%,%,,
,Contribution de la Cour Pénale Internationale à la paix en Centrafrique?,% Contribution positive,21%,52%,56%,69%,30%,32%,52%,40%,56%,6%,18%,24%,%,,
