Catégories,Variables,Réponses,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Unit,Source,Source Link
,"Connaître une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des deux dernières années, que ce soit chez eux ou ailleurs",Oui,13%,23%,19%,23%,9%,12%,14%,24%,17%,26%,16%,18%,%,,
,"Témoin d'une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des deux dernières années, que ce soit chez eux ou ailleurs",Oui,9%,24%,19%,23%,8%,10%,17%,22%,10%,20%,16%,17%,%,,
,"Victime d'un harcèlement, aggression ou mutilation sexuelle au cours des deux dernières années, que ce soit chez vous ou ailleurs",Oui,4%,11%,10%,14%,4%,5%,4%,5%,5%,8%,8%,7%,%,,
,Arrivé plusieurs fois,Oui,50%,46%,48%,43%,37%,42%,44%,42%,42%,53%,71%,48%,%,,
,Responsable du dernier incident de violence sexuelle,Membre de votre famille,13%,13%,9%,17%,37%,8%,22%,8%,33%,18%,12%,15%,%,,
,,Ami proche,38%,29%,43%,17%,12%,33%,11%,42%,17%,47%,12%,28%,%,,
,,Connaissance,0%,0%,26%,7%,25%,25%,11%,8%,8%,6%,24%,12%,%,,
,,Personne en tenue,0%,29%,13%,27%,0%,17%,33%,25%,8%,0%,18%,19%,%,,
,,Personne inconnue,25%,8%,9%,20%,25%,17%,11%,17%,33%,24%,29%,19%,%,,
,,Patron,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Autre,25%,13%,0%,13%,0%,0%,11%,0%,0%,6%,6%,6%,%,,
,"Parlé de du dernier incident de violence sexuelle, et si oui, à qui (% répondants - réponses multiples)",Non,25%,38%,52%,27%,0%,17%,11%,42%,8%,41%,18%,29%,%,,
,,"oui, à un parent (mère, père)",62%,29%,39%,43%,25%,17%,56%,42%,33%,12%,35%,36%,%,,
,,"oui, à un frère, sœur",38%,21%,13%,20%,50%,25%,44%,42%,17%,24%,53%,30%,%,,
,,"oui, à un autre membre du ménage",13%,8%,13%,13%,12%,0%,33%,8%,8%,0%,24%,12%,%,,
,,"oui, à un(e) ami(e)",13%,0%,0%,10%,25%,0%,0%,0%,8%,12%,12%,5%,%,,
,,"oui, à la police",0%,13%,17%,30%,0%,17%,0%,8%,42%,6%,41%,19%,%,,
,,"oui, au chef de quartier",0%,25%,26%,37%,0%,25%,44%,17%,25%,24%,59%,30%,%,,
,,"oui, au tribunal",0%,17%,9%,17%,0%,17%,22%,17%,0%,0%,29%,14%,%,,
,,"oui, à la gendarmerie",0%,4%,4%,7%,0%,25%,22%,17%,0%,6%,6%,9%,%,,
,,"oui, au prêtre / imam du quartier",0%,4%,0%,3%,25%,0%,0%,0%,0%,0%,0%,1%,%,,
,,Autre,0%,8%,4%,0%,12%,8%,0%,8%,0%,18%,35%,9%,%,,
,"Porté plainte, et si oui, auprès de qui (% répondants - réponses multiples)","Non, pas de plainte",62%,50%,57%,47%,37%,17%,22%,42%,42%,65%,24%,42%,%,,
,,"oui, à la police",0%,21%,35%,30%,0%,25%,56%,25%,25%,18%,29%,28%,%,,
,,"oui, au chef de quartier",25%,29%,26%,40%,50%,67%,44%,25%,58%,29%,53%,39%,%,,
,,"oui, au tribunal",0%,13%,17%,23%,12%,17%,33%,25%,0%,6%,41%,20%,%,,
,,"oui, à la gendarmerie",0%,8%,0%,13%,12%,25%,22%,8%,17%,6%,12%,11%,%,,
,,"oui, au prêtre / imam du quartier",0%,4%,4%,13%,0%,0%,0%,0%,0%,0%,0%,3%,%,,
,,"oui, à un parent",13%,4%,4%,10%,0%,8%,0%,0%,0%,0%,6%,4%,%,,
,,"Oui, au procureur/ parquet",0%,21%,17%,10%,0%,8%,22%,8%,0%,0%,35%,14%,%,,
,,Autre,25%,13%,0%,0%,0%,17%,0%,8%,8%,41%,35%,13%,%,,
,Satisfaits de la résolution,oui,87%,58%,61%,63%,25%,58%,67%,50%,58%,88%,71%,63%,%,,
RETOUR DE PERSONNES DÉPLACÉES,Perception du retour des personnes déplacées ou réfugiées (retournées) dans la communauté,Bon et très bon,78%,87%,95%,86%,77%,85%,91%,83%,78%,80%,88%,85%,%,,
,Effet de la présence des personnes retournées sur la sécurité (% répondants),Effets négatifs,22%,21%,23%,23%,15%,16%,22%,28%,16%,22%,14%,21%,%,,
,,Pas d'effets,48%,51%,59%,65%,58%,55%,65%,43%,54%,48%,60%,54%,%,,
,,Effets positifs,30%,28%,18%,12%,28%,29%,13%,29%,30%,30%,26%,25%,%,,
,Effet de la présence des personnes retournées sur les prix de la nourriture au marché (% répondants),Effets négatifs,15%,17%,18%,21%,14%,10%,19%,30%,9%,23%,18%,19%,%,,
,,Pas d'effets,29%,39%,48%,50%,53%,49%,57%,29%,45%,32%,61%,44%,%,,
,,Effets positifs,55%,44%,35%,30%,33%,41%,24%,41%,47%,45%,21%,37%,%,,
,"Effet de la présence des personnes retournées sur les conditions de vie en général (logement, accès à la terre, …) (% répondants)",Effets négatifs,21%,24%,21%,25%,16%,17%,26%,32%,16%,26%,25%,24%,%,,
,,Pas d'effets,40%,38%,54%,54%,52%,47%,57%,36%,47%,36%,51%,46%,%,,
,,Effets positifs,40%,39%,25%,22%,32%,37%,16%,33%,36%,38%,24%,30%,%,,
,"Perception des expériences de rencontres avec des personnes retournées qui auraient fait du tord, à la personne, un membre de la famille ou de la communauté",Bon et très bon,46%,62%,63%,62%,42%,48%,65%,45%,55%,50%,64%,55%,%,,
,"Organisations qui préparent le retour des personnes déplacées ou réfugiées dans la communauté, si oui, qui (% répondants - réponses multiples)","Non, personne",44%,20%,19%,20%,42%,39%,14%,23%,40%,44%,9%,26%,%,,
,,"Oui, HCR",42%,52%,56%,49%,46%,46%,56%,59%,48%,39%,66%,53%,%,,
,,"Oui, autre organisation internationale",37%,49%,37%,50%,29%,35%,45%,37%,39%,39%,41%,40%,%,,
,,"Oui, autorités locales en RCA",24%,26%,23%,24%,24%,19%,25%,24%,24%,20%,24%,23%,%,,
,,"Oui, ma famille, des parents",14%,22%,17%,18%,18%,15%,15%,15%,19%,15%,27%,18%,%,,
,,Autre,2%,4%,3%,4%,1%,2%,5%,5%,5%,3%,12%,5%,%,,
,,Ne sait pas,2%,3%,2%,0%,4%,4%,3%,1%,3%,2%,3%,2%,%,,
,Présence de personnes retournées dans votre village/ quartier,oui,65%,85%,78%,80%,44%,68%,81%,91%,68%,65%,83%,78%,%,,
JUSTICE,La justice peut être faite dans le quartier/ village,oui,73%,68%,75%,67%,74%,71%,74%,77%,76%,79%,70%,74%,%,,
,Perception du système de justice national (% répondants - réponses multiples),Ça n’existe pas / impunité,5%,5%,5%,6%,10%,10%,6%,5%,8%,4%,8%,6%,%,,
,,Ils sont corrompus,40%,37%,24%,19%,40%,39%,22%,22%,34%,40%,29%,29%,%,,
,,Il faut payer,36%,32%,18%,10%,32%,34%,10%,12%,33%,34%,19%,22%,%,,
,,C’est la justice des riches,34%,30%,20%,15%,30%,33%,15%,15%,30%,36%,28%,24%,%,,
,,"Ça fonctionne bien; il y a des bâtiments, juges, personnel….",47%,47%,50%,44%,43%,40%,54%,39%,52%,48%,57%,48%,%,,
,,La justice est rendue comme elle le devrait,34%,40%,49%,55%,43%,40%,47%,55%,44%,35%,31%,44%,%,,
,,Je ne connais pas assez pour avoir une opinion,7%,2%,5%,4%,11%,5%,4%,4%,8%,6%,4%,5%,%,,
,,Autre,1%,1%,3%,4%,1%,0%,2%,2%,0%,0%,11%,3%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Mesures pour améliorer le système de justice (% répondants - réponses multiples),C’est impossible d’améliorer,5%,3%,2%,5%,6%,7%,2%,0%,5%,4%,3%,3%,%,,
,,"Former les juges, avocats,...",48%,52%,55%,45%,48%,45%,38%,60%,54%,52%,35%,49%,%,,
,,Combattre la corruption,69%,79%,81%,67%,73%,69%,76%,67%,75%,71%,71%,72%,%,,
,,Construire les infrastructures,47%,47%,30%,29%,43%,47%,28%,19%,51%,44%,27%,35%,%,,
,,Informer la population,43%,46%,34%,36%,42%,44%,33%,18%,47%,40%,37%,36%,%,,
,,"Payer le personnel, juges, ...",26%,31%,29%,33%,29%,27%,30%,33%,24%,28%,20%,28%,%,,
,,Sanctionner les juges,24%,23%,27%,20%,25%,28%,21%,27%,27%,26%,17%,24%,%,,
,,Autre,9%,10%,10%,8%,3%,5%,6%,4%,5%,13%,15%,8%,%,,
,,Ne sait pas,0%,0%,1%,0%,0%,0%,1%,0%,1%,0%,0%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Déjà eu recours aux tribunaux,oui,54%,57%,41%,49%,47%,50%,46%,51%,53%,64%,42%,50%,%,,
,Connaissance du système judiciaire national,% bonne et très bonne,64%,63%,65%,63%,66%,68%,65%,51%,65%,67%,60%,62%,%,,
,Confiance dans le système judiciaire formel,% confiant,50%,57%,57%,55%,49%,48%,54%,46%,49%,50%,34%,49%,%,,
,"Confiance dans la justice locale traditionelle (chefs de village, mairie, etc…)",% confiant,53%,52%,48%,50%,32%,44%,46%,33%,40%,52%,36%,43%,%,,
,"Confiance dans la justice alternative (mediation) (chefs religieux, associations, etc…)",% confiant,55%,72%,77%,72%,42%,44%,76%,68%,50%,57%,61%,63%,%,,
,Raisons de la confiance dans le système judiciare formel (% répondants - réponses multiples),Je n'ai pas confiance dans le système de justice national,8%,12%,20%,23%,10%,16%,23%,17%,7%,12%,28%,17%,%,,
,,Les juges et le personnel sont bien formés,52%,47%,55%,49%,44%,44%,53%,54%,53%,41%,41%,49%,%,,
,,Les juges traitent tous les gens de façon juste et égale,55%,43%,52%,44%,43%,44%,47%,47%,49%,38%,42%,46%,%,,
,,Décisions au tribunal sont prises de façon juste,44%,48%,56%,50%,42%,40%,49%,38%,47%,42%,34%,44%,%,,
,,Il est toujours possible d'avoir son cas jugé au tribunal,39%,40%,34%,24%,42%,46%,20%,20%,43%,38%,13%,30%,%,,
,,J'ai confiance que nous aurons un tribunal un jour,25%,19%,15%,7%,30%,24%,7%,5%,27%,23%,9%,15%,%,,
,,J'ai confiance que nous aurons des juges un jour,20%,21%,7%,6%,27%,20%,5%,6%,25%,25%,5%,13%,%,,
,,Les problèmes sont traités par rapport au droit,24%,33%,27%,35%,31%,27%,25%,26%,29%,26%,28%,28%,%,,
,,Autre,4%,5%,6%,8%,2%,2%,5%,4%,3%,6%,12%,5%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Perception du système de justice national incluant les forces de sécurité (% d'accord),Les victimes de crimes par la police ont la possibilité de se plaindre,90%,95%,98%,97%,93%,88%,97%,99%,89%,89%,97%,94%,%,,
,,Les policiers sont impunis,46%,36%,42%,37%,39%,42%,38%,46%,50%,38%,48%,43%,%,,
,,Il est possible d’éviter d’être arrêté si on paie la police,48%,37%,34%,30%,42%,53%,37%,27%,52%,45%,41%,39%,%,,
,,La police traite tous les groupes ethniques de la même façon,83%,80%,75%,65%,76%,77%,62%,67%,73%,76%,57%,70%,%,,
,,Il faut payer un pot de vin pour que la police travaille sur une plainte,44%,32%,34%,25%,38%,40%,26%,13%,48%,39%,35%,32%,%,,
,,Les juges prennent leurs décisions sans influence du gouvernement.,78%,71%,72%,73%,75%,79%,70%,67%,71%,72%,67%,71%,%,,
,,Les tribunaux traitent les gens de façon juste et égale,83%,76%,68%,74%,79%,81%,68%,83%,76%,79%,55%,74%,%,,
,,Les décisions du tribunal sont prises d’une façon juste,83%,82%,76%,80%,80%,79%,72%,85%,76%,83%,65%,78%,%,,
,,Il faut payer quelque chose pour avoir sa plainte traitée par les courts,35%,30%,29%,25%,31%,41%,23%,17%,43%,35%,29%,29%,%,,
,,Les victimes et témoins de crimes peuvent porter plainte à la police sans peur de représailles,81%,85%,92%,89%,80%,84%,86%,90%,80%,75%,81%,85%,%,,
,,La police traite les hommes et les femmes de façon égale,74%,70%,72%,65%,72%,78%,60%,72%,65%,68%,60%,68%,%,,
,,Les juges traitent les hommes et les femmes de façon égale,78%,80%,80%,81%,78%,82%,73%,81%,69%,74%,65%,76%,%,,
,,J'ai dû payer ou été sollicité pour payer des motivations (corruption) par un représentant de l'État dans les 12 derniers mois,34%,23%,31%,24%,35%,45%,25%,18%,35%,27%,29%,29%,%,,
PAIX,Options pour rétablir la paix avec les groupes armés en RCA (% répondants - réponses multiples),Les désarmer,77%,76%,80%,75%,82%,78%,78%,81%,78%,72%,85%,79%,%,,
,,Les éliminer par la force,50%,45%,35%,36%,50%,50%,33%,33%,49%,43%,27%,39%,%,,
,,Entamer un dialogue/ négocier,35%,30%,29%,33%,28%,29%,26%,36%,33%,29%,21%,30%,%,,
,,Les laisser former leur parti politique,6%,6%,10%,3%,6%,7%,3%,3%,6%,5%,2%,5%,,,
,,Les punir en justice,64%,63%,63%,55%,56%,59%,56%,65%,68%,60%,51%,60%,,,
,,Les intégrer à la police/ armée,9%,9%,14%,18%,6%,6%,20%,15%,5%,16%,17%,13%,,,
,,Autre,4%,7%,6%,10%,2%,2%,4%,6%,3%,8%,13%,6%,,,
,Actions pour une paix durable en RCA (% répondants - réponses multiples),"Rien, la paix ne peut pas revenir",1%,0%,1%,0%,1%,3%,0%,2%,0%,1%,1%,1%,,,
,,Juger les responsables des crimes,49%,55%,69%,67%,54%,48%,71%,69%,50%,40%,62%,60%,,,
,,Mettre en prison les responsables des crimes,47%,56%,68%,61%,46%,47%,68%,64%,60%,48%,46%,58%,,,
,,Assurer la sécurité partout dans le pays,44%,52%,49%,41%,35%,38%,45%,44%,46%,47%,25%,43%,,,
,,DDR,79%,78%,78%,76%,78%,80%,74%,77%,87%,76%,79%,79%,,,
,,Développer le pays,41%,41%,30%,29%,35%,38%,18%,23%,41%,41%,23%,31%,,,
,,Assurer de l'emploi à tous,36%,36%,28%,27%,25%,31%,22%,20%,28%,34%,19%,26%,,,
,,Construire des routes,21%,28%,18%,16%,20%,23%,15%,12%,24%,25%,13%,18%,,,
,,Mettre en place des dialogues entre les différents groupes ethniques/ religieux,35%,40%,39%,37%,25%,28%,31%,35%,27%,31%,30%,33%,,,
,,Eduquer la nouvelle génération,30%,31%,23%,16%,33%,31%,17%,24%,34%,35%,24%,26%,,,
,,Construire un État de droit,26%,26%,23%,23%,31%,26%,17%,18%,24%,27%,16%,22%,,,
,,Assurer la présence de l'État partout dans le pays,36%,36%,29%,33%,35%,29%,19%,26%,32%,38%,18%,28%,,,
,,Autre,8%,6%,5%,6%,3%,3%,4%,5%,3%,12%,14%,6%,,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Contribution des organisations nommées au retour de la paix en RCA (% beaucoup et extrèmement),Le gouvernement centrafricain,67%,67%,72%,66%,54%,61%,60%,69%,62%,61%,45%,63%,,,
,,L'Union Africaine,27%,34%,37%,33%,27%,24%,29%,25%,25%,24%,24%,27%,,,
,,Les Nations Unies,31%,40%,46%,38%,29%,30%,41%,29%,24%,36%,41%,35%,,,
,Contribution des organisations nommées à la reconciliation entre centrafricains (% beaucoup et extrèmement),Le gouvernement centrafricain,57%,64%,70%,66%,52%,55%,63%,71%,60%,55%,49%,61%,,,
,,L'Union Africaine,25%,32%,35%,34%,24%,23%,30%,27%,25%,25%,23%,28%,,,
,,Les Nations Unies,31%,37%,47%,39%,29%,30%,39%,27%,25%,34%,36%,34%,,,
JUSTICE TRANSITIONNELLE,Options pour l'amnistie en lien avec les conflits armés (% repondants - une seule reponse),Donner l'amnistie à tout le monde,18%,18%,12%,13%,14%,14%,11%,7%,14%,15%,17%,13%,,,
,,"Donner l'amnistie à tout le monde, sauf les grands chefs responsables",11%,16%,23%,20%,9%,9%,21%,24%,11%,10%,19%,17%,,,
,,Donner l'amnistie seulement à ceux qui n'ont pas commis des crimes sérieux,13%,15%,18%,13%,17%,16%,17%,22%,17%,15%,19%,17%,,,
,,Ne donner l'amnistie à personne,57%,51%,47%,55%,60%,61%,51%,47%,58%,60%,44%,52%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Entendu parler de la Cour Pénale Spéciale (CPS),Oui,87%,80%,73%,77%,85%,86%,77%,76%,85%,88%,74%,80%,,,
,Principale source d'information sur la CPS (% répondants - parmi répondants qui ont entendu parler),Un parent,6%,10%,4%,2%,5%,8%,7%,9%,9%,5%,3%,7%,,,
,,Un ami,3%,4%,5%,4%,4%,4%,1%,1%,5%,6%,4%,3%,,,
,,Au marché,3%,3%,0%,0%,1%,1%,0%,1%,1%,3%,0%,1%,,,
,,La radio,84%,74%,81%,81%,80%,83%,79%,78%,79%,77%,84%,80%,,,
,,Les journeaux,3%,2%,2%,5%,4%,1%,5%,3%,4%,2%,1%,3%,,,
,,Une organisation locale,0%,1%,1%,4%,1%,1%,0%,1%,0%,0%,1%,1%,,,
,,Une organisation internationale,0%,0%,1%,0%,0%,0%,0%,2%,1%,1%,0%,1%,,,
,,La TV,1%,1%,0%,2%,2%,2%,2%,0%,0%,3%,2%,1%,,,
,,Des gens de la Cour Spéciale,1%,4%,3%,1%,3%,1%,4%,5%,1%,3%,1%,2%,,,
,,Autre,0%,1%,4%,2%,2%,0%,3%,1%,1%,1%,4%,2%,,,
,,Ne sait pas,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Écouté ou participé à une activité de sensibilisation sur la CPS,Oui,41%,41%,48%,53%,49%,48%,51%,62%,40%,49%,35%,48%,,,
,Types d'activités auxquelles les gens ont participé (% répondants - parmi les répondants qui ont écouté ou participé),Emission d'information à la radio,81%,78%,84%,88%,78%,70%,88%,85%,72%,69%,79%,81%,,,
,,Atelier de formation,22%,20%,32%,23%,16%,16%,33%,22%,16%,21%,18%,23%,,,
,,Théatre,27%,18%,16%,13%,26%,39%,19%,9%,36%,22%,15%,20%,,,
,,Focus groupe,7%,13%,9%,6%,13%,11%,3%,8%,9%,16%,14%,9%,,,
,,Réunions de leaders communautaires,6%,12%,14%,15%,9%,10%,16%,20%,15%,13%,17%,15%,,,
,,Réunion animée par des leaders communautaires,11%,15%,10%,6%,10%,5%,8%,9%,7%,6%,5%,8%,,,
,,Réunion animée par une organisation locale,7%,10%,13%,8%,14%,7%,8%,15%,6%,11%,4%,10%,,,
,,Réunion animée par des leaders religieux,7%,20%,13%,9%,6%,7%,7%,15%,10%,18%,5%,11%,,,
,,Emissions à la radio communautaire,9%,26%,29%,26%,23%,15%,24%,28%,6%,9%,29%,22%,,,
,,Témoignages de victimes,22%,32%,32%,33%,30%,31%,33%,43%,30%,21%,38%,34%,,,
,,Autre,0%,1%,0%,2%,0%,1%,1%,1%,0%,2%,19%,2%,,,
,,Ne sait pas,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Satisfaction de l'activité,Oui,88%,96%,97%,100%,95%,88%,100%,97%,91%,93%,86%,95%,,,
,Connaissance de la Cour Pénale Spéciale,% bonne et très bonne,63%,66%,61%,62%,65%,62%,66%,53%,65%,67%,50%,61%,,,
,Niveau de confiance dans la Cour Pénale Spéciale,% confiant,51%,55%,58%,61%,48%,51%,59%,56%,53%,52%,54%,55%,,,
,Contribution de la CPS à la justice pour les Centrafricains,% Contribution positive,50%,49%,48%,45%,43%,46%,54%,44%,45%,47%,48%,47%,,,
,Contribution de la CPS à la paix en Centrafrique,% Contribution positive,47%,55%,57%,55%,49%,50%,48%,50%,45%,49%,52%,50%,,,
,Neutralité de la CPS,Oui,75%,80%,86%,83%,80%,72%,83%,82%,71%,78%,78%,79%,,,
,Investir dans la CPS ou le développement (% répondants),Dans la cour pénale spéciale,37%,41%,40%,35%,44%,33%,34%,29%,45%,44%,52%,38%,,,
,,Dans le développement,63%,59%,59%,65%,55%,67%,66%,69%,55%,56%,46%,61%,,,
,,Ne sait pas,0%,0%,1%,0%,1%,0%,0%,2%,1%,0%,1%,1%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Le plus important est de s'occuper des problemes que les Centrafricains vivent tous les jours ou s'occuper des crimes commis depuis 2003 (% répondants),Problèmes des centrafricains aujourd'hui,47%,46%,43%,41%,49%,43%,45%,47%,42%,41%,39%,44%,,,
,,Crimes commis depuis 2003,53%,54%,55%,59%,51%,57%,55%,52%,57%,59%,59%,56%,,,
,,Ne sait pas,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,1%,0%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Actions de la Cour Pénale Spéciale pour les individus (% des répondants - réponses multiples),Rien,1%,2%,1%,3%,3%,5%,5%,1%,5%,1%,5%,3%,,,
,,Justice - juger les personnes responsables (les chefs) des conflits,43%,56%,66%,60%,55%,49%,67%,66%,44%,39%,62%,57%,,,
,,Justice - mettre les personnes responsables (les chefs) des conflits en prison,62%,69%,77%,66%,66%,63%,78%,73%,69%,64%,63%,69%,,,
,,Justice - juger toutes les personnes qui ont commis des crimes en lien avec les conflits,68%,71%,74%,64%,65%,62%,75%,72%,58%,62%,65%,68%,,,
,,Justice - mettre toutes les personnes qui ont commis des crimes en lien avec les conflits en prison,61%,59%,66%,56%,44%,52%,60%,59%,52%,63%,46%,57%,,,
,,Reconnaître officiellement que je suis une victime des conflits,31%,31%,25%,13%,15%,23%,12%,7%,32%,26%,21%,20%,,,
,,Donner un récit de ce s'est passé pendant les conflits - récit historique,26%,25%,22%,13%,9%,21%,18%,18%,21%,25%,9%,19%,,,
,,Expliquer pourquoi il y a des conflits en RCA,31%,31%,23%,20%,32%,34%,25%,31%,33%,33%,29%,29%,,,
,,Rétablir la paix dans le pays,45%,48%,38%,39%,40%,44%,43%,49%,40%,41%,37%,43%,,,
,,"Me rendre ce que j'ai perdu pendant les conflits (maison, terre, biens)",21%,14%,9%,6%,11%,16%,6%,8%,23%,15%,9%,12%,,,
,,"Me fournir des services (santé, santé mentale, éducation)",13%,13%,10%,9%,13%,14%,8%,14%,16%,12%,9%,12%,,,
,,Me donner de l'argent,14%,13%,6%,7%,8%,10%,5%,1%,11%,9%,6%,7%,,,
,,Me donner une autre compensation pour mes souffrances,14%,12%,4%,2%,10%,14%,6%,4%,10%,11%,4%,8%,,,
,,Donner une compensation à ma communauté,12%,11%,4%,10%,8%,11%,7%,6%,7%,9%,8%,8%,,,
,,Autre,0%,3%,3%,5%,0%,1%,3%,2%,0%,2%,11%,3%,,,
,,Ne sait pas,0%,0%,0%,0%,1%,1%,0%,2%,1%,0%,0%,1%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Actions de la Cour Pénale Spéciale pour la Centrafrique (% des répondants - réponses multiples),Rien,1%,2%,1%,1%,2%,5%,0%,0%,2%,1%,2%,1%,,,
,,Rendre justice pour les violences commises,56%,74%,72%,75%,61%,45%,77%,77%,50%,68%,68%,67%,,,
,,Rétablir la sécurité,68%,66%,76%,65%,61%,67%,68%,72%,72%,61%,64%,69%,,,
,,Rétablir la paix dans le pays,63%,65%,70%,65%,64%,66%,65%,66%,65%,61%,64%,65%,,,
,,Faire que les communautés vivent ensemble,47%,58%,52%,40%,44%,47%,41%,26%,50%,52%,35%,42%,,,
,,"Rétablir la confiance dans le pays, la RCA",49%,57%,54%,48%,48%,45%,47%,48%,49%,47%,48%,49%,,,
,,Autre,1%,3%,3%,4%,0%,1%,1%,3%,1%,1%,8%,3%,,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,Prêts à collaborer avec la CPS pour faciliter son travail,Oui,84%,91%,91%,90%,90%,85%,84%,92%,85%,90%,89%,88%,,,
,Entendu parler de la Cour Pénale Internationale ou CPI,Oui,86%,85%,78%,87%,94%,92%,90%,84%,87%,92%,86%,87%,,,
,Connaissance de la Cour Pénale Internationale,% bonne et très bonne,50%,50%,36%,40%,62%,55%,44%,40%,54%,60%,43%,47%,,,
,Niveau de confiance dans la Cour Pénale Internationale,% confiant,28%,34%,30%,32%,39%,33%,23%,35%,33%,37%,34%,32%,,,
,Contribution de la Cour Pénale Internationale à la justice pour les Centrafricains?,% Contribution positive,26%,33%,22%,23%,36%,33%,30%,34%,35%,40%,29%,31%,,,
,Contribution de la Cour Pénale Internationale à la paix en Centrafrique?,% Contribution positive,28%,36%,30%,36%,41%,31%,31%,36%,33%,35%,35%,34%,,,
,D'accord ou pas avec l'arrestation de Rambo,D'accord,87%,85%,91%,86%,85%,81%,88%,93%,79%,88%,93%,88%,,,
,,Pas d'accord,13%,15%,9%,14%,15%,19%,11%,7%,21%,12%,7%,12%,,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,,,
,"D'accord ou pas pour que Rambo soit jugé, hors de la RCA (à la CPI)",D'accord,38%,40%,39%,38%,59%,43%,27%,56%,41%,53%,45%,43%,,,
,,Pas d'accord,61%,60%,60%,62%,40%,57%,73%,44%,59%,47%,55%,57%,,,
,,Ne sait pas,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
